name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
Протеин Trec Nutrition Whey 100 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,2270,76.0,36.0,5640,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без крахмала, без пальмового масла, без сои, без соли",мужчин и женщин,21.0,2270.0,5901828348075,"Концентрат сывороточного протеина, какао-порошок для вкуса шоколад,шоколад-вишня,шоколад-кунжут,кокос-шоколад,шоколад-ореховый крем,шоколад-апельсин и пряничный;регулятор кислотности для вкуса клубника и малина-лимонная и яблочная кислота;ароматизированный загуститель-натриевая соль карбоксиметилцеллюлозы;подсластитель-сукралоза;бета-керотин-краситель ваниль,банан,печенье,пина колада;кошениль красный А-краситель для вкуса клубника и малина;краситель для арахисовое масло-аммиак карамели",,,,,
Гейнер Trec Nutrition Solid Mass 1000 г,"Нарастить массу, Восстановление",Гейнеры,Польша,1000,10.0,24.0,1470,Сывороточный концентрат,порошок,,мужчин и женщин,13.0,1000.0,5901828342400,"Мальтодекстрины, Концентрат Сывороточного Белка, Декстроза, Рисовый Крахмал, Вит. С (Л-Аскорбиновая Кислота),  Niacyna (Nikotynamid), Вит. Е, Пантотеновая Кислота (Д-Пантотенат Кальция), Вит. B6 (Пиридоксина Гидрохлорид), Вит. B2 (Рибофлавин), Вит. B1 (Тиамина Мононитрат), Фолиевая Кислота (Птероилмоноглютаминовая Кислота), Биотин (D-Биотин), Вит. B12","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,
Протеин Ultimate Nutrition ProStar Whey 2390 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2390,80.0,730.0,5211,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без пальмового масла",мужчин и женщин,25.0,2735.0,099071001436,"Микрофильтрованный и Ультрафильтрованный сывороточный протеин (изолят и концентрат сывороточного белка, пептиды), соевый лецитин, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия.",,,,,
Протеин Mutant Whey 2270 г,"Сбросить вес, Восстановление",Протеины,Канада,2270,63.0,24.0,4860,Сывороточный концентрат,порошок,"без консервантов, без красителей, без крахмала",мужчин и женщин,22.0,2270.0,627933027203,"концентрат сывороточного протеина, изолят сывороточного протеина, инулин, ксантановая камедь, пептиды глутамина, натуральные и искусственные ароматизаторы, цитрат калия, ацесульфам калия, сукралоза, соевый лецитин.",,,,,
Гейнер QNT Muscle Mass 3000 4500 г,"Нарастить массу, Восстановление",Гейнеры,Бельгия,4500,30.0,24.0,5180,Сывороточный концентрат,порошок,"без ГМО, без консервантов",мужчин и женщин,7.0,4800.0,5425002400279,"Мальтодекстрин, декстроза, концентрат сывороточного протеина (молоко), вкусовая добавка, загуститель Е412, фруктоза, подсластитель Е951, краситель, витамины: В3, В5, В6, В2, В12.",,,,,
Гейнер Ultimate Nutrition Muscle Juice Revolution 2600 5040 г,"Нарастить массу, Улучшить выносливость, Восстановление",Гейнеры,США,5040,19.0,24.0,6980,Многокомпонентный,порошок,без сахара,мужчин и женщин,56.0,5040.0,099071002389,"L-Аргинин, L-Аспарагиновая кислота, L-Цистин, L-Аланин, L-Глютаминовая кислота, L-Глицин, L-Гистидин, L-Пролин, L-Серин, L-Тирозин, Концентрат сывороточного протеина, изолят сывороточного протеина, изолят молочного белка, гидролизованный сывороточный протеин, яичный протеин, мицеллярный казеин, концентрат молочного белка, кальция казеинат, Кукурузный мальтодекстрин, рисовый мальтодекстрин, Karbo-Lyn®, Масло канолы, MCT (триглицериды со средней цепью), Омега 3 Рыбий жир, CLA (конъюгированная линолевая кислота), L-Глютамин, L-Аланил-L-Глютамин, Протеаза, Лактаза, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия, соевый лецитин.",,,,,
Протеин Activlab Muscle UP Protein 2000 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,2000,40.0,24.0,5490,Сывороточный концентрат,порошок,"без ГМО, без консервантов, без крахмала, без пальмового масла, без сои, без соли",мужчин и женщин,35.0,2000.0,5907368871592,"концентрат сывороточного протеина, мальтодекстрин, моногидрат креатина, таурин, глюкоза, ароматизатор, загуститель: карбоксиметилцеллюлоза, регулятор кислотности: лимонная кислота (аромат клубники, йогурта-вишни и лесных фруктов), подсластители: ацесульфам К и сукралоза, красители: кошенильный красный (аромат клубники, йогурта-вишни и лесных фруктов) – может оказывать неблагоприятное влияние на активность и внимание у детей, аммиачная карамель (шоколадный и ореховый аромат), диоксид титана (ванильный, кокосово-ванильный, банановый аромат), кошениль (лесной фрукт). ароматизатор), блестящий синий (аромат лесных фруктов).",,креатин моногидрат,,,
Гейнер Power Pro Gainer 30 1000 г,"Нарастить массу, Восстановление",Гейнеры,Россия,1000,25.0,24.0,1090,Сывороточный концентрат,порошок,"без ГМО, без сои",мужчин и женщин,12.0,1000.0,4670019900262,"концентрат белка молочной сыворотки, мальтодекстрин, фруктоза, загуститель – дикрахмалфосфат ацетилированный (Е 1414), креатин, загуститель – гуаровая камедь (Е 412), эмульгатор — соевый лецитин (Е 322), аминокислоты: аргинин, таурин, глутамин, глицин, L-карнитин, экстракт гуараны, ароматизатор – банан, регулятор кислотности – лимонная кислота (Е 330), кофеин, подсластитель – сукралоза (Е 955), краситель — куркумин (Е100).",,,,,
Гейнер Power Pro Gainer 10 1000 г,"Нарастить массу, Восстановление",Гейнеры,Россия,1000,25.0,24.0,790,Сывороточный концентрат,порошок,"без ГМО, без консервантов",мужчин и женщин,4.0,1000.0,4670019900255,"мальтодекстрин, фруктоза, концентрат белка молочной сыворотки, загуститель – дикрахмалфосфат ацетилированный (Е 1414), креатин, загуститель – гуаровая камедь (Е 412), эмульгатор – соевый лецитин (Е 322), аминокислоты: аргинин, таурин, глутамин, глицин, L-карнитин, экстракт гуараны, ароматизатор – лесная ягода, регулятор кислотности – лимонная кислота (Е 330), кофеин, подсластитель – сукралоза (Е 955), краситель – кармин (Е 120) / индигокармин (Е132). 	",,,,,
Гейнер VPLab Mass Builder 1200 г,"Нарастить массу, Восстановление",Гейнеры,Великобритания,1200,12.0,24.0,3070,Сывороточный концентрат,порошок,с витаминами,мужчин и женщин,20.0,1200.0,5060255355046,"мальтодекстрин, концентрат сывороточного протеина, фруктоза, сахароза, амилопектиновый кукурузный крахмал, Palatinose™ (изомальтулоза), моногидрат креатина, ароматизатор, фосфат натрия, оксид магния, загуститель (карбоксиметилцеллюлоза), подсластитель (сукралоза), L-аскорбиновая кислота, D-биотин, никотинамид, DL-α-Токоферола ацетат, кальция пантотенат, пиридоксина гидрохлорид, рибофлавин-5-фосфат натрия, тиамина гидрохлорид, ретинола ацетат, фолиевая кислота, филлохинон, холекальциферол, цианокобаламин, фумарат железа, глюконат цинка, глюконат марганца, глюконат меди, йодид калия, пиколинат хрома, эмульгатор (соевый лецитин). Может содержать следы глютена, орехов и яичного протеина.","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",,"железо, йод, калий, кальций, магний, марганец, медь, хром, цинк",,
Протеин Micellar Casein 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,30.0,730.0,1650,Казеин,порошок,"без ГМО, без аспартама, без крахмала, без мальтодекстрина, без пальмового масла, без сои",мужчин и женщин,24.0,1150.0,2000324812202,"Казеин мицелярный, какао-порошок (только в шоколадном вкусе), ароматизатор, соевый лецитин (эмульгатор), молочная кислота (только в йогуртовых вкусах), яблочная кислота (только во вкусе йогурт-ананас), лимонная кислота (только во вкусе клубника), натуральный краситель (во всех вкусах кроме шоколадного), хлорид натрия (только во вкусах шоколад и йогурт-ананас), ксантановая камедь, гуаровая камедь, ацесульфам К, сукралоза.",,,,,
Протеин Dymatize Elite Casein 920 г,"Нарастить массу, Сбросить вес",Протеины,США,920,27.0,24.0,4060,Казеин,порошок,"без ГМО, без консервантов, без красителей",мужчин и женщин,25.0,1105.0,705016224579,"мицеллярный казеин, казеинат кальция, молоко), подсолнечная смесь (подсолнечное масло, мальтодекстрин, мицелярный казеин, подсолнечный лецитин, цират натрия, натуральный токоферол и тиракальциум фосфат), натуральные и искусственные ароматизаторы,какао, соевый лецитин, соль, гуровая камедь, сорбат калия, камедь целлюлозы,сукралоза, смесь энзимов(протеаза,лактаза,липаза), ацесульфам калия, экстракт листьев стевии",,,,,
Протеин QNT Delicious Whey Protein 908 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Бельгия,908,30.0,730.0,2640,Многокомпонентный,порошок,"без ГМО, без глютена, без консервантов, без мальтодекстрина, без пальмового масла, без сои",мужчин и женщин,22.0,950.0,5425002409982,"Концентрат белка молочной сыворотки,изолят белка молочной сыворотки,гидролизат белка молочной сыворотки,загуститель гуаровая камедь Е412,ксантовая камедь Е415, ароматизатор, краситель Е162,подсластитель сукралоза Е955",,,,,
Протеин Optimum Nutrition 100% Whey Gold Standard Natural 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2270,70.0,24.0,5490,Многокомпонентный,порошок,"без ГМО, без аспартама, без глютена, без красителей, без крахмала, без сои",мужчин и женщин,24.0,2300.0,748927052671,"Протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, сывороточные пептиды), сгущенный порошок сока тростника, натуральные ароматизаторы, лактаза; для вкуса шоколад и ваниль - ребаудиозид, лецитин,лимонная кислота; для вкуса клубника – какао, ксантановая камедь",,,,пластик,
100% Platinum Whey 750 г,"Нарастить массу, Сбросить вес",Протеины,Великобритания,750,25.0,730.0,2692,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без мальтодекстрина, без пальмового масла",мужчин и женщин,22.0,1000.0,5060255353943,"Концентрат сывороточного протеина, изолят сывороточного протеина, ароматизатор, загуститель (карбоксиметилцеллюлоза), натуральный краситель,подсластитель (сукралоза), DigeZyme® (а-амилаза, протеаза, лактаза, липаза, целлюлаза), эмульгатор (соевый лецитин)",,,,,
Протеин Syntrax Nectar Naturals (изолят) 907 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,907,57.0,24.0,5650,Сывороточный изолят,порошок,,мужчин и женщин,10.0,925.0,2000324837625,"Изолят сывороточного протеина, подсластитель эритрит, натуральные ароматизаторы, антислеживающий агент кремния диоксид, антиокислитель соевый лецитин, поваренная соль, экстракт стевии.",,,,,
"Гейнер GEON EXCELLENT MASS 5000, 25% белка 2720 г","Нарастить массу, Восстановление",Гейнеры,Россия,2720,45.0,730.0,2330,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без пальмового масла, без сои",мужчин и женщин,15.0,2940.0,4640006011172,"концентрат сывороточного белка, смесь мальтодекстринов, изомальтулоза, фруктоза, эмульгатор (Е471), лецитин, камедь гуаровая, сукралоза, смесь ароматизаторов",,,,,
Гейнер Activlab Mass UP 2000 г,"Нарастить массу, Восстановление",Гейнеры,Польша,2000,20.0,24.0,1950,,порошок,,мужчин и женщин,,2100.0,5903163600139,"мальтодекстрин, глюкоза, концентрат сывороточного белка, моногидрат креатина, таурин, глицин, ароматизатор, загуститель Е466, регулятор кислотности: лимонная кислота (клубника, йогурт-Зауэр вишня и аромат лесных фруктов), красители: Е124 (клубника, йогурт-Зауэр вишня и аромат лесных фруктов)-они могут отрицательно влиять на активность и концентрацию у детей, Е133 (аромат лесных фруктов), Е150с (шоколад и ореховый аромат), Е171 (ваниль, кокос и банан), Е950 подсластитель. Содержит производные молока, яиц, сои, пшеницы; может содержать следы орехов.",,,,,
"Гейнер GEON EXCELLENT MASS 5000, 25% белка 920 г","Нарастить массу, Восстановление",Гейнеры,Россия,920,15.0,730.0,1220,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без пальмового масла, без сои",мужчин и женщин,15.0,,4640006012148,"концентрат сывороточного белка, смесь мальтодекстринов, изомальтулоза, фруктоза, эмульгатор (Е471), лецитин, камедь гуаровая, сукралоза, смесь ароматизаторов",,,,,
Гейнер RLine Mass 4000 г,"Нарастить массу, Восстановление",Гейнеры,Россия,4000,40.0,24.0,3990,Сывороточный концентрат,порошок,"без консервантов, с витаминами",мужчин и женщин,23.0,,4600778000644,"концентрат сывороточного белка, мальтодекстрин, декстроза, фруктоза, шоколадная крошка (в шоколадном вкусе), сублимированные кусочки фруктов (во фруктовых вкусах), концентрат натурального сока (во фруктовых вкусах), какао-порошок (в шоколадном вкусе), лецитин, загуститель (ксантановая камедь), подсластитель (сукралоза), йодированная соль, ароматизатор, идентичный натуральному, витаминный премикс.",,,,,
Гейнер FIT-Rx 100% Mass Gainer 2700 г,Нарастить массу,Гейнеры,Россия,2700,27.0,730.0,2240,Сывороточный концентрат,порошок,"без аспартама, без крахмала, без пальмового масла, без сои",мужчин и женщин,20.0,2800.0,4630018861704,"Для вкуса банан: мальтодекстрин кукурузный, декстроза, концентрат сывороточных белков, пищевые волокна пшеничные, гуаровая камедь (стабилизатор), ксантановая камедь (стабилиатор), конжаковая камедь (стабилизатор), ароматизатор натуральный «Банан», подсластитель «Сукралоза», лецитин соевый (эмульгатор), кремния-диоксид. Для вкуса ваниль: мальтодекстрин кукурузный, декстроза, концентрат сывороточных белков, пищевые волокна пшеничные, гуаровая камедь (стабилизатор), ксантановая камедь (стабилиатор), конжаковая камедь (стабилизатор), ароматизатор натуральный «Ваниль», подсластитель «Сукралоза», лецитин соевый (эмульгатор), кремния-диоксид.",,,,,
Протеин Mutant Iso Surge изолят 727 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Канада,727,23.0,24.0,2720,Многокомпонентный,порошок,без сахара,мужчин и женщин,25.0,1000.0,627933024271,"изолят сывороточного протеина, гидролизат сывороточного протеина, природные и искусственные ароматизаторы, натуральный крем ароматизатор, масло МСТ (триглицериды со средней цепью из фракционированного кокосового масла), гуаровая камедь, цитрат калия, сукралоза, лецитин, диоксид кремния, лактоза, протеаза, экстракт стевии (ребаудиозида А).",,,,,
Гейнер ActivLab Mass UP 1200 г,Восстановление,Гейнеры,Польша,1200,12.0,24.0,1370,Сывороточный концентрат,порошок,с сахарозаменителем,мужчин и женщин,10.0,1230.0,5907368876474,"мальтодекстрин, глюкоза, концентрат сывороточного белка, моногидрат креатина, таурин, глицин, ароматизатор, загуститель Е466, регулятор кислотности: лимонная кислота (клубника, йогурт-Зауэр вишня и аромат лесных фруктов), красители: Е124 (клубника, йогурт-Зауэр вишня и аромат лесных фруктов)-они могут отрицательно влиять на активность и концентрацию у детей, Е133 (аромат лесных фруктов), Е150с (шоколад и ореховый аромат), Е171 (ваниль, кокос и банан), Е950 подсластитель. Содержит производные молока, яиц, сои, пшеницы; может содержать следы орехов.",,,,,
Гейнер Activlab Mass UP 3500 г,Нарастить массу,Гейнеры,Польша,3500,35.0,24.0,3250,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без крахмала, без пальмового масла, без сои",мужчин и женщин,10.0,3600.0,5907368876351,"мальтодекстрин, глюкоза, концентрат сывороточного белка, моногидрат креатина, таурин, глицин, ароматизатор, загуститель Е466, регулятор кислотности: лимонная кислота (клубника, йогурт-Зауэр вишня и аромат лесных фруктов), красители: Е124 (клубника, йогурт-Зауэр вишня и аромат лесных фруктов)-они могут отрицательно влиять на активность и концентрацию у детей, Е133 (аромат лесных фруктов), Е150с (шоколад и ореховый аромат), Е171 (ваниль, кокос и банан), Е950 подсластитель. Содержит производные молока, яиц, сои, пшеницы; может содержать следы орехов.",,креатин моногидрат,,,
Протеин Ultimate Nutrition Whey Gold 908 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,908,26.0,24.0,3475,Сывороточный концентрат,порошок,"без консервантов, без красителей, без сахара",мужчин и женщин,20.0,908.0,,"Протеиновая смесь Whey Gold (концентрат сывороточного белка, гидролизованный изолят сывороточного белка, изолят сывороточного белка), восковая кукуруза (Waxy Maize), натуральные ароматизаторы, сукралоза, ацесульфам калия.",,,,,
Протеин GEON Perfect Whey Isolate 700 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,700,20.0,24.0,3230,Сывороточный изолят,порошок,"без ГМО, без лактозы","мужчин и женщин, пожилых",31.0,700.0,,"Изолят белка молочной сыворотки, эмульгатор лецитин соевый Е322, загуститель ксантановая камедь Е415, диоксид кремния аморфный Е551 (антислеживающий агент), подсластитель сукралоза Е955.",,,,,
Протеин Dymatize Elite Whey Protein 907 г,"Нарастить массу, Сбросить вес",Протеины,США,907,27.0,24.0,5140,Сывороточный концентрат,порошок,с сахарозаменителем,мужчин и женщин,25.0,907.0,2000000023984,"Концентрат сывороточного протеина, изолят сывороточного протеина, гидролизат сывороточного протеина, сывороточные пептиды, натуральные и искусственные ароматизаторы, соевый лецитин,свекольный порошок,смесь камеди (целлюлозная камедь, ксантовая камедь,каррагенин), соль,лимонная кислота, ацесульфам калия, сукралоза, экстракт листьев стевии",,,,,
Протеин Power Pro Mix Whey Protein 40 г 15 шт,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,15,15.0,24.0,1500,Многокомпонентный,пакетики,"без аспартама, без консервантов, без сахара",мужчин и женщин,30.0,600.0,4670019900170,"Белок молочной сыворотки (концентрат, изолят, гидролизат) , гидролизат коллагена, казеинат кальция (молочный белок) антиокислитель, эмульгатор — лецитин (E 322) — 0,08 г/40г, ароматизатор, подсластитель — сукралоза (E 955), имбирь молотый, антиокислитель — лимонная кислота (E 330), урсоловая кислота — 0,01 г/40 г, порошок семени льна — 0,002 г/40 г, краситель — карамельный колер (E 150)",,,,,
Протеиновый коктейль BOMBBAR Whey Protein shakes & drinks 30 г 20 шт,"Сбросить вес, Восстановление",Протеины,Россия,20,20.0,24.0,2400,Сывороточный концентрат,порошок,"без консервантов, без сахара",мужчин и женщин,20.0,600.0,"4680046720238,4680046720245","концентрат сывороточного белка, эмульгатор - лецитин, изомальтоолигосахарид, ароматизаторы- натуральные, загустители (ксантовая камедь, гуаровая камедь), соль, аскорбиновая кислота (витамин С), подсластитель (ацесульфам к,сукралоза)",C (аскорбиновая кислота),,,,
Гейнер Mass Creatine 4000 г,Нарастить массу,Гейнеры,Россия,4000,40.0,730.0,4460,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, с витаминами",мужчин и женщин,23.0,,4600778000613,"концентрат сывороточного белка, мальтодекстрин, фруктоза, декстроза, шоколадная крошка (в шоколадном вкусе), сублимированные кусочки фруктов (во фруктовых вкусах), концентрат натурального сока (во фруктовых вкусах), какао-порошок (в шоколадном вкусе), креатина моногидрат, лецитин, загуститель (ксантановая камедь), подсластитель (сукралоза), йодированная соль, ароматизатор, идентичный натуральному, витаминный премикс.","A (ретинол), B1 (тиамин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B6 (пиридоксин), B9 (фолиевая кислота), C (аскорбиновая кислота), E (токоферол)",креатин моногидрат,,,
Протеин NEWA Nutrition Protein for Women 395 г,"Сбросить вес, Восстановление",Протеины,Россия,395,16.0,24.0,840,Многокомпонентный,порошок,с витаминами,женщин,16.0,415.0,4627113880457,"Концентрат сывороточного белка, изолят соевого белка, инулин, гуаровая камедь, ароматизатор пищевой ваниль, подсластитель-стевиозид, витаминно-минеральный премикс",,,,,
"Протеин Fuze Protein Matrix with L-Glutamine + vitamin C, 750 г",Восстановление,Протеины,Россия,750,15.0,24.0,780,Многокомпонентный,порошок,с витаминами,мужчин и женщин,23.0,,4627083881744,"протеиновая база (концентрат сывороточного белка – 37,6%, концентрат молочных белков – 18,9%, сухой яичный белок – 18,9%, изолят соевого белка – 19,1%, пшеничный белок – 5,5%), мальтодекстрин, соевый лецитин (эмульгатор), фруктоза, декстроза, ароматизаторы, аспасвит (подсластитель; не содержит финилаланин), ксантановая камедь (эмульгатор), витамин С.",,,,,
"Растительный протеин Prime-Kraft Fit & Health VEGAN Protein Shake 550 грамм, вкус: клубничный коктейль","Сбросить вес, Мужское здоровье, Женское здоровье, Восстановление",Протеины,Россия,550,18.0,14.0,1190,Растительный,порошок,,мужчин и женщин,23.0,550.0,4627157353207,"гороховый белок, концентрат конопляного белка, клубника сублимированная, пребиотик инулин, загустители: ксантановая камедь, гуаровая камедь; ароматизаторы; подсластитель стевия; фолиевая кислота.",B9 (фолиевая кислота),,,,
Протеин Power Pro CUBE Whey Protein 1000 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,1000,25.0,24.0,2490,Сывороточный концентрат,порошок,с клетчаткой,мужчин и женщин,28.0,1150.0,4670019900668,"белки молочной сыворотки (концентрат, изолят, гидролизат), микроцеллюлоза, мальтодекстрин, хитозан, загуститель – дикрахмалфосфат ацетилированный, загуститель - гуаровая камедь, ароматизатор, экстракт родиолы розовой, экстракт зверобоя, L-карнитин, экстракт ананаса, премикс минеральный стандартизованный по составу (кальций, калий, магний, железо, цинк, медь, марганец, йод, селен), эмульгатор - лецитин, регулятор кислотности - кислота лимонная, подсластитель – сукралоза, краситель – карамельный колер, экстракт гуараны, экстракт гарцинии камбоджийской (гидроксилимонная кислота не менее 50%), экстракт элеутерококка, экстракт левзеи (экдистерон не менее 20%), экстракт коры ивы белой (салицин не менее 15%), экстракт аралии маньчжурской, экстракт померанца, экстракт толокнянки, кофеин. Содержит подсластитель.",,,,,
"Протеин Fuze Protein Matrix with BCAA + vitamin C, 750 г",Восстановление,Протеины,Россия,750,15.0,24.0,790,Многокомпонентный,порошок,с витаминами,мужчин и женщин,23.0,,4627083881645,"концентрат сывороточного белка - 37,6%, концентрат молочного белка - 18,9%, сухой яичный белок - 18,9%, изолят соевого белка - 19,1 %, пшеничный белок - 5,5%, фруктоза, декстроза, соевый лецитин, мальтодекстрин, витамин С, L-лейцин, L-изолейцин, L-валин, ароматизатор, аспасвит (не содержит финилалалин), ксантановая камедь.",C (аскорбиновая кислота),,,,
Протеин Power Pro Whey Protein 40 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,1,1.0,24.0,85,Многокомпонентный,пакетики,"без консервантов, без пальмового масла, без сахара",мужчин и женщин,30.0,40.0,4670019900231,"Белок молочной сыворотки (концентрат, изолят, гидролизат) , гидролизат коллагена, казеинат кальция (молочный белок) антиокислитель, эмульгатор — лецитин (E 322) — 0,08 г/40г, ароматизатор, подсластитель — сукралоза (E 955), имбирь молотый, антиокислитель — лимонная кислота (E 330), урсоловая кислота — 0,01 г/40 г, порошок семени льна — 0,002 г/40 г, краситель — карамельный колер (E 150)",,,,,
Протеин Mote Whey Protein Shake 617 г,"Сбросить вес, Продлить молодость",Протеины,Россия,615,18.0,24.0,1960,Сывороточный концентрат,порошок,"без крахмала, без сахара",мужчин и женщин,24.0,617.0,7930081190006,"Концентрат сывороточного белка, полученный методом ультрафильтрации (КСБ -УФ), полидекстроза, ароматизатор, идентичный натуральному, лецитин, загуститель (ксантановая камедь), подсластитель (сукралоза).",,,,,
Протеин RLine Casein Micellar 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,30.0,24.0,2370,Казеин,порошок,"без консервантов, без красителей",мужчин и женщин,24.0,,4600778006981,"мицеллярный казеин, алкализованный какао-порошок (для шоколадного вкуса), ароматизатор, идентичный натуральному, загуститель (ксантановая камедь), подсластитель (сукралоза), лецитин, натуральный краситель (кармин).",,,,,
Протеин RPS Nutrition EGG Protein 500 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,500,17.0,730.0,1290,Яичный,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без лактозы, без пальмового масла, без сахара, без сои",мужчин и женщин,24.0,530.0,4627116542017,"белок яичный сухой (белок куриного яйца), какао-порошок алкализованный, ванилин кристаллический, кофе растворимый порошкообразный, смесь загустителей (ксантовая камедь, гуаровая камедь), эмульгатор микрокристаллическая целлюлоза (пищевые волокна), соль поваренная пищевая, термостабильный подсластитель сукралоза, корица молотая (для вкуса мокачино)",,,,,
Протеин FIT-Rx Casein 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,30.0,24.0,2520,Казеин,порошок,"без сахара, без сои, с сахарозаменителем",мужчин и женщин,24.0,900.0,4630018862435,"Казеин мицелярный микронизированный, пищевые волокна, лецитин (эмульгатор), гуаровая камедь(стабилизатор), ксантановая камедь(стабилизатор), ароматизаторы натуральные, подсластитель сладин, кремния диоксид, подсластитель сукралоза",,,,,
Протеин Cybermass Beef Protein 750 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,750,25.0,24.0,2110,Говяжий,порошок,"без глютена, без сахара, с витаминами",мужчин и женщин,25.0,750.0,4626016621822,"Гидролизат говяжьего белка, моногидрат креатина, мальтодекстрин, алкализованный какао-порошок, ароматизатор идентичный натуральному ""Лесной орех"", ""Шоколад"", эмульгатор - соевый лецитин (Е322), загуститель - ксантановая камедь (Е412), подсластитель - сукралоза (Е955), диоксид кремния, витаминно-минеральный премикс.",,,,,
Протеин STL WHEY 80 920 грамм,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,920,30.0,24.0,2490,Сывороточный концентрат,порошок,без аспартама,мужчин и женщин,,1100.0,4602009474002,"для вкуса ""Без вкуса"": Концентрат сывороточных белков молока, лактоза, минеральные соли молока, лецитин. Для вкусов ""Ирландский виски"", ""Клубника"", ""Лимонад"": Концентрат сывороточных белков молока, лактоза, минеральные соли молока, лецитин, ароматизаторы пищевые, сукралоза.",,,,,
Протеин Power Pro Mix Whey Protein 1000 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,1000,25.0,24.0,1950,Многокомпонентный,порошок,"без аспартама, без консервантов, без сахара",мужчин и женщин,30.0,1020.0,4670019900149,"Белок молочной сыворотки (концентрат, изолят, гидролизат) , гидролизат коллагена, казеинат кальция (молочный белок) антиокислитель, эмульгатор — лецитин (E 322) — 0,08 г/40г, ароматизатор, подсластитель — сукралоза (E 955), имбирь молотый, антиокислитель — лимонная кислота (E 330), урсоловая кислота — 0,01 г/40 г, порошок семени льна — 0,002 г/40 г, краситель — карамельный колер (E 150)",,,,,
