name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
Гейнер Trec Nutrition Solid Mass 3000 г,"Нарастить массу, Восстановление",Гейнеры,Польша,3000,30.0,24.0,3450,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без пальмового масла, без сои",мужчин и женщин,13.0,3100.0,5901828342776,"Мальтодекстрины, Концентрат Сывороточного Белка, Декстроза, Рисовый Крахмал, Вит. С (Л-Аскорбиновая Кислота),  Niacyna (Nikotynamid), Вит. Е, Пантотеновая Кислота (Д-Пантотенат Кальция), Вит. B6 (Пиридоксина Гидрохлорид), Вит. B2 (Рибофлавин), Вит. B1 (Тиамина Мононитрат), Фолиевая Кислота (Птероилмоноглютаминовая Кислота), Биотин (D-Биотин), Вит. B12","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,
Протеин Trec Nutrition Casein 100 600 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,600,20.0,24.0,2650,Казеин,порошок,"без глютена, без консервантов",мужчин и женщин,22.0,650.0,5901828348228,Казеин мицеллярный,,,,,
Гейнер QNT Metapure Mass 1815 г,"Нарастить массу, Восстановление",Гейнеры,Бельгия,1815,36.0,24.0,3490,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без пальмового масла",мужчин и женщин,21.0,1900.0,5404017400078,"Овсяная мука (содержит глютен), изолят сывороточного белка (содержит молоко, эмульгатор: подсолнечный лецитин (Е322)), L-глютамин, ароматизатор, подсластитель: сукралоза (Е955). Содержит молоко, глютен. Может содержать следы яиц, сои. Эта пищевая добавка не должна использоваться для замены сбалансированного и разнообразного питания и здорового образа жизни. Держитесь подальше от маленьких детей. Не превышайте рекомендуемую дозу.",,,,,
Функциональное питание Arctic Health Weight Norm 500 г,"Сбросить вес, Женское здоровье",Функциональное питание,Норвегия,500,10.0,730.0,1490,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без пальмового масла, без соли",мужчин и женщин,12.0,580.0,7090025452925,"Омега 3, Масло МСТ, Витамин А, Витамин D3, Витамин C, Витамин B1, Витамин Е, Витамин B2, Витамин B6, Цинк, Йод, Магний, Кальций, Калий, Селен, Сывороточный белок, Молочный белок, Биотин, Фолиевая кислота","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",,"железо, калий, кальций, магний, марганец, медь, селен, фосфор, цинк",,
"Протеин Trec Nutrition Whey 100, 30 г 30 шт","Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,30,30.0,24.0,4200,Сывороточный концентрат,порошок,"без консервантов, без пальмового масла, без сахара",мужчин и женщин,21.0,900.0,2000324752508,"Концентрат Сывороточного Белка,какао-порошок для вкуса шоколад,шоколад-вишня,шоколад-кунжут,кокос-шоколад,шоколад-ореховый крем,шоколад-апельсин и пряничный;регулятор кислотности для вкуса клубника и малина-лимонная и яблочная кислота;ароматизированный загуститель-натриевая соль карбоксиметилцеллюлозы;подсластитель-сукралоза;бета-керотин-краситель ваниль,банан,печенье,пина колада;кошениль красный А-краситель для вкуса клубника и малина;краситель для арахисовое масло-аммиак карамели",,,,,
Протеин Red Star Labs Premium Whey Concentrate 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Германия,900,28.0,24.0,2890,Сывороточный концентрат,порошок,"без консервантов, без сахара, с витаминами",мужчин и женщин,19.0,900.0,"0607052502232,2000874550906","сывороточный концентрат, сывороточный изолят, сывороточный гидролизат, сладкий протеиновый порошок, фруктоза, глицин, l-аланин, сливки, l-глутамин, загустители (гуаровая камедь Е412, ксантановая камедь Е415), гидрохлорид l-лизина, цельное сухое молоко, натуральные красители: свекольный порошок Е162, оранжевый Е162, ароматизаторы, подсластители (сукралоза Е955, ацесульфам калия Е950).",,,,,
Протеин Syntha-6 Isolate 912 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,912,24.0,36.0,3570,Сывороточный изолят,порошок,"без красителей, без сахара",мужчин и женщин,25.0,912.0,834266066100,"Матрица изолята протеина (изолят сывороточного протеина, молочного протеина), подсолнечника порошок (подсолнечное масло, кукурузный крахмал, натрия казеинат, моно и диглицерид, дипотасиум фосфат, трикальциум фосфат, соевый лецитиин, токоферолы), смесь пищевых волокон (инулин, полидекстроза), хлорид калия, соевый лецитин, камедь (целлюлозная, ксантовая, карагинин), соль, сукралоза, ацесульфам калия, какао",,,,,
Изолят протеина QNT Metapure Zero Carb 480 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Бельгия,480,16.0,24.0,1890,Сывороточный изолят,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без мальтодекстрина, без пальмового масла, без сои",мужчин и женщин,25.0,520.0,5425002408947,"Изолят сывороточного протеина (молоко), ароматизатор, подсластитель (E955). Информация об аллергене: может содержать следы молока, сои.",,,,,
Протеин Optimum Nutrition 100% Whey Gold Standard 819-907 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,907,28.0,24.0,2781,Многокомпонентный,порошок,"без аспартама, без сои, без холестерина",мужчин и женщин,24.0,1090.0,748927052794,"Протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, сывороточные пептиды), натуральные и искусственные ароматизаторы, лецитин, соль, сукралоза, ацесульфам калия, лактаза, для вкуса шоколад-ментол - какао, для вкуса молочный шоколад - заменитель сливок (подсолнечное масло, мальтодекстрин, модифицированный пищевой крахмал, дикалийфосфат, трикальций фосфат, токоферол), соль, для вкуса клубника - краситель FD&C красный #40",,,,пластик,
Протеин QNT PRIME WHEY 908 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Бельгия,908,30.0,24.0,2670,Сывороточный концентрат,порошок,"без консервантов, без красителей, без сахара",мужчин и женщин,24.0,908.0,5404017400757,"Концентрат и изолят сывороточного белка (содержит молоко), эмульгаторы (соя/лецитин подсолнечника).",,,,,
Протеин Scitec Nutrition Whey Protein 2350 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Венгрия,2350,78.0,730.0,6420,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без крахмала, без мальтодекстрина, без пальмового масла, без сои, без соли",мужчин и женщин,22.0,2680.0,728633105250,"ультрафильтрованный концентрат сывороточного протеина, содержащий протеиновые фракции лактоглобулина, лактоферрина, лактальбумина и иммунноглобулина, ""Амино шатл 2"" (декстроза, л-глютамин, таурин), загуститель, ксантовая камедь,подсластитель-аспартам, сукралоза, ароматизатор. Содержит источник фенилаланина",,,,,
Протеин Red Star Labs Premium Whey Concentrate 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Германия,2270,81.0,24.0,5890,Многокомпонентный,порошок,"без ГМО, без аспартама, без консервантов, без крахмала, без пальмового масла, без соли, с витаминами",мужчин и женщин,19.0,2270.0,607052502171,"сывороточный концентрат, сывороточный изолят, сывороточный гидролизат, сладкий протеиновый порошок, фруктоза, глицин, l-аланин, сливки, l-глутамин, загустители (гуаровая камедь Е412, ксантановая камедь Е415), гидрохлорид l-лизина, цельное сухое молоко, натуральные красители: свекольный порошок Е162, оранжевый Е162, ароматизаторы, подсластители (сукралоза Е955, ацесульфам калия Е950).","B1 (тиамин), B2 (рибофлавин), B6 (пиридоксин), B9 (фолиевая кислота)",,"железо, йод, калий, кальций, магний, марганец, медь, молибден, натрий, селен, фосфор, хлор, хром, цинк",пластик,
