name,Цель,Тип,"Объем, мл",Страна производитель,Количество в упаковке,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,Витамины,Количество порций,"Вес нетто, г",Штрихкод,Минералы,Белок: грамм в 1 порции,Вид белка,Форма креатина,Материал,Вид транспортной системы,Вид омега-3
Гель Science In Sport (SIS) Go Isotonic Energy 60 мл ,"Улучшить выносливость, Восстановление",Гели,,Великобритания,1,12.0,190,гель,"без глютена, без сахара",мужчин и женщин,"вода, мальтодекстрин (из кукурузы), гелеобразующие агенты (геллановая камедь, ксантановая камедь), натуральный ароматизатор, регуляторы кислотности (лимонная кислота, цитрат натрия), консерванты (бензонат натрия, сорбат калия), подсластитель (ацесульфам К), хлорид натрия, антиоксидант (аскорбиновая кислота).",,1.0,60.0,"5025324002054,5025324190249,5025324302055",,,,,,,
"Коллаген FIT-Rx Collagen, 90 капсул",Подвижность и здоровье суставов,Коллаген,,Россия,90,24.0,690,,с витаминами,пожилых,"коллаген гидролизованный, аскорбиновая кислота, капсула (желатин – загуститель, вода, диоксид титана – краситель).",,30.0,250.0,4630018861834,,,,,,D-пинитол,
Экдистерон FIT-Rx Ecdysterone 100 150 капсул,Мужское здоровье,экдистерон,,Россия,150,24.0,3500,капсулы,без аспартама,мужчин,"экстракт левзеи (25% экдистерона), желатин, мальтодекстрин, цитрат натрия, диоксид кремния.",,150.0,250.0,4630018861513,,,,,,,
"Средство для повышения тестостерона aTech Nutrition ALPHAMAN тестобустер, 90 капсул",Мужское здоровье,Повышение тестостерона,,Россия,90,24.0,1160,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов",мужчин,"желатин, витамин b6, витамин в3, женьшеня корня экстракт, кремния диоксид, маки перуанской корня экстракт, магния цитрат, краситель е171, витамин k1, пиперин, цинка цитрат, ашваганды экстракт, экдистерон, йохимбин hcl","B3/PP (никотиновая кислота/ниацин), B6 (пиридоксин)",45.0,100.0,4630019674549,"магний, цинк",,,,,,
Коллаген PrimeBar Collagen 200 г,"Подвижность и здоровье суставов, Красота и уход, Продлить молодость, Прочность костей",Коллаген,,Россия,200,730.0,750,порошок,"без ГМО, без глютена, без консервантов, без красителей, без лактозы, без мальтодекстрина, без сахара",мужчин и женщин,"коллаген гидролизованный, аскорбиновая кислота (витамин С), гиалуроновая кислота. Не содержит ГМО / Без сахара.",C (аскорбиновая кислота),33.0,270.0,4627157353184,,,,,,,
Комплекс для связок и суставов Trec Nutrition Joint Therapy Plus 120 капсул,Подвижность и здоровье суставов,Для связок и суставов,,Польша,120,24.0,3190,капсулы,с витаминами,"мужчин и женщин, пожилых","Глюкозамин сульфат, Хондроитин сульфат, Гидролизат коллагена II типа, Кальций, Экстракт имбиря, Экстракт куркумы длинной, Витамин С, Цинк, 	капсула-желатин;краситель-двуокись титана,синий пантентованный V;наполнитель-соль магния жирных кислот ",C (аскорбиновая кислота),40.0,182.0,5902114012519,"кальций, цинк",,,,,,
Энергетик Trec Nutrition Caffeine 200 Plus 60 капсул,"Сбросить вес, Улучшить выносливость",Энергетики,,Польша,60,24.0,760,капсулы,"без консервантов, без красителей",мужчин и женщин,"Кофеин (безводный) - 200 мг,  Экстракт грейпфрута (98% нарингенина) - 50 мг, мальтодекстрин – наполнитель, желатин – оболочка капсулы, краситель - диоксид титана, антислеживающий агент - магниевые соли жирных кислот.",,60.0,70.0,5901828348716,,,,,,,
"Комплекс для связок и суставов Chikalab Collagen, 400 г",Подвижность и здоровье суставов,Коллаген,,Россия,400,24.0,1350,порошок,с витаминами,беременных,"гидролизат коллагена (говяжий, 1 и 3 тип), минеральный премикс, Л-пролин, д-глюкозамин сульфат калия, регулятор кислотности (лимонная кислота), краситель натуральный (рибофлавин), метилсульфонилметан, хондроитин сульфат, ароматизаторы натуральные, витаминный премикс, антиокислитель (аскорбиновая кислота), гиалуроновая кислота, подсластитель (сукралоза).",,25.0,440.0,4680046722683,,,,,,,
Изотоник RLine ISOtonic L-Carnitin 450 г,"Улучшить выносливость, Восстановление",Изотоники,,Россия,450,730.0,820,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без крахмала, без лактозы, без сои",мужчин и женщин,"фруктоза, декстроза, мальтодекстрин, L-карнитин, лимонная кислота, аскорбиновая кислота, витаминно-минеральный премикс, ароматизатор, идентичный натуральному, концентрат натурального сока, подсластитель (сукралоза).","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), E (токоферол)",18.0,,4600778003379,"железо, калий, кальций, магний, марганец, медь, цинк",,,,пластик,,
Напиток E-ON BCAA 2:1:1 5000 Sport Support sugar zero 450 мл,"Улучшить выносливость, Восстановление",Напитки,450.0,Россия,450,12.0,140,,"без сахара, с витаминами",мужчин и женщин,"Подготовленная вода, концентрированный лимонный сок, регуляторы кислотности кислота лимонная и цитрат натрия, аминокислоты (L-лейцин, L-изолейцин, L-валин), натуральные ароматизаторы, экстракт женьшеня, таурин, кофеин, L-карнитин, экстракт гуараны, витамины: пантотеновая кислота (В5), В6, фолиевая кислота, (Вс), ниацин (РР).",,1.0,,7640157152851,,,,,,,
Изотоник Activlab Isoactive 630 г,Восстановление,Изотоники,,Польша,630,36.0,870,порошок,"без ГМО, без аспартама, без глютена, без консервантов, с витаминами",мужчин и женщин,"Натрий, Калий, Хлорид, Кальций, Магний, Витамин В1, Витамин В2, Ниацин, Пантотеновая кислота, Витами В6, Биотин,  Фолиевая кислота, Витамин В12, Экстракт японского спорыша, включая ресвератрол, Мальтодекстрин, глюкоза, концентрат сывороточного белка, креатина, таурин, глицин, ароматизатор, загуститель E466, регулятор кислотности лимонная кислота, цвет E124, E950 подсластитель.","B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота)",20.0,754.0,5907368865904,"калий, кальций, магний, натрий",,,,,,
Напиток Science in Sport (SIS) GO Hydro 20 таблеток,Восстановление,Изотоники,,Великобритания,20,730.0,1010,таблетки,"без ГМО, без аспартама, без глютена, без консервантов, без лактозы, без мальтодекстрина, без сахара, без сои",мужчин и женщин,"Лимонная Кислота, Электролиты 37% (Бикарбонат Натрия, Хлорид Натрия, Карбонат Кальция, Хлорид Калия, Трикальцийфосфат, Карбонат Магния), Сорбит, Инулин, Краситель (Свекольный Красный), Натуральный Ароматизатор, Порошок Бузины (2,3%), Крахмал, Подсластитель (Сукралоза), Витамины (Пиридоксина Гидрохлорид, Рибофлавин, Тиамин).","B1 (тиамин), B2 (рибофлавин), B6 (пиридоксин)",20.0,,5025324005307,"калий, кальций, магний",,,,,,
Коллаген VPLab Collagen Peptides 300 г,"Подвижность и здоровье суставов, Продлить молодость",Коллаген,,Великобритания,300,24.0,1870,порошок,с витаминами,"мужчин и женщин, пожилых","гидролизованный коллаген, ароматизаторы, подкислитель (лимонная кислота), цитрат магния, аскорбиновая кислота, подсластитель (сукралоза), краситель (бета-каротин).",C (аскорбиновая кислота),42.0,360.0,5060255359648,магний,,,,,,
Предтренировочный комплекс Prime-Kraft PRE-Workout Boost 300 г,Улучшить выносливость,Предтренировочные комплексы,,Россия,300,24.0,1290,порошок,с витаминами,мужчин и женщин,"креатина моногидрат, L-цитруллина DL-малат, L-аргинина альфа-кетоглутарат, бета-аланин, таурин, ароматизатор, безводный кофеин, витаминно-минеральный премикс, подсластитель сукралоза, краситель бета-каротин.","A (ретинол), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",20.0,300.0,,"кальций, селен",,,креатин моногидрат,,,
Напиток с L-карнитин Fit-RX L-Kar 3200 500 мл,Сбросить вес,Напитки,500.0,Россия,500,12.0,140,жидкость,с сахарозаменителем,мужчин и женщин," 	подготовленная питьевая вода, L-карнитин, регулятор кислотности – лимонная кислота, ароматизатор согласно вкусу, смесь подсластителей – «Мультисвит 200С», консервант – сорбат калия, бензоат натрия, краситель. Допускается выпадение естественного осадка.",,1.0,,4630018861315,,,,,,,
Изотоник Red Star Labs Isotonic Electrolyte 500 мл,"Улучшить выносливость, Восстановление",Изотоники,,Россия,500,24.0,1190,жидкость,"без красителей, без сахара, с витаминами",мужчин и женщин,"Подготовленная столовая минеральная вода, витаминно-минеральный комплекс (калий, натрий, биотин, аскорбиновая кислота, никотиновая кислота, токоферол, пантотеновая кислота, цианокобаламин, пиридоксин, тиамин, ретинол, рибофлавин, кальциферол, кальций, железо, фосфор, магний), концентрированный сок яблоко, L-карнитин, регулятор кислотности - лимонная кислота, подсластитель сукралоза, консерванты: сорбат калия, бензоат натрия. Содержит натуральный экстракт. Минимальное содержание сока 5%.","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",50.0,,4627188695475,"железо, калий, кальций, магний, натрий, фосфор",,,,,,
Комплекс для суставов и связок Ultimate Nutrition Glucosamine & Chondroitin + MSM 90 таблеток,Подвижность и здоровье суставов,Для связок и суставов,,США,90,24.0,1490,таблетки,"без ГМО, без ароматизаторов, без консервантов","мужчин и женщин, пожилых","глюкозамин сульфат, хондроитин сульфат, диоксид кремния, стеарат магния.",,30.0,195.0,099071006080,,,,,,,
Предтренировочный комплекс Trec Nutrition Boogieman fuel 100 мл,"Нарастить массу, Улучшить выносливость",Предтренировочные комплексы,,Польша,1,12.0,140,ампулы,с сахарозаменителем,мужчин и женщин,"вода, бета-аланин, таурин, L-аргинин альфа-кетоглутарат (AAKG), L-цитруллин малат, безводный кофеин, инозин, регулятор кислотности - цитрат натрия, ароматы, мальтодекстрин, подсластители - ацесульфам К, сукралоза, неотам, консерванты - сорбат калия, бензоат натрия.",,1.0,,2000874530816,,,,,,,
Бустер тестостерона FIT-Rx Tribulus 500 90 капсул,Мужское здоровье,Анаболические комплексы,,Россия,90,24.0,2660,капсулы,без аспартама,мужчин,"экстракт Tribulus Terrestris (сапонины 90%), желатин, мальтодекстрин, цитрат натрия, диоксид кремния.",,90.0,250.0,4630018861520,,,,,,,
Предтренировочный комплекс Trec Nutrition S.A.W. (SAW) 200 г,"Нарастить массу, Улучшить выносливость",Предтренировочные комплексы,,Польша,200,24.0,2520,порошок,"без консервантов, без сахара",мужчин и женщин,"L-аргинин, Альфа-Кетоглютарат, Цитрулин малат,L-аргинин малат,ViNitox™: экстракты винограда и яблока,  	Бета-аланин,Л-тирозин,Таурин,Экстракт грейпфрута (98% нарингинина), Креатин моногидрат, Три-Креатин-Малат, Креатин Этил Эстерроматизаторы, кофеин безводный, регуляторы кислотности - яблочная и лимонная кислота; антиокислитель - диоксид силикона, подсластитель - сукралоза.",,40.0,250.0,5901828349034,,,,,,,
Коллаген Trec Nutrition Collagen Renover 350 г,"Подвижность и здоровье суставов, Продлить молодость",Для связок и суставов,,Польша,350,24.0,2330,порошок,"без консервантов, без сахара",мужчин и женщин,"Гидролизат коллагена, витамин С, регулятор кислотности - лимонная кислота, ароматизатор, подсластитель - сукралоза, краситель для лимонного вкуса - бета-каротин, краситель для вишневого и клубнично-бананового вкуса - азорубин.",C (аскорбиновая кислота),70.0,440.0,5901828349157,,,,,,,
Предтренировочный комплекс Trec Nutrition Boogieman 300 г,"Нарастить массу, Улучшить выносливость",Предтренировочные комплексы,,Польша,300,24.0,3140,порошок,с сахарозаменителем,мужчин и женщин,"бета-аланин, цитруллин малат, L-аргинин альфа-кетоглутарат, таурин, L-тирозин, средство против слеживания - диоксид кремния, отдушки, мальтодекстрин, безводный кофеин, альфа-липоевая кислота (ALA), L-теанин, экстракт женьшеня [корень] (Panax ginseng) [10% гинсенозидов], магний (магниевые соли лимонной кислоты, карбонат магния, оксид магния), загустители - целлюлозная камедь, ксантановая камедь, экстракт родиолы розовой [3% росавинс], подсластители - сукралоза, цикламат натрия, сахарин натрия, ниацин (никотинамид), тиамин (тиамин гидрохлорид), B6 (пиридоксин гидрохлорид), B12 (5'-дезоксиаденозилкобаламин).","B1 (тиамин), B12 (цианокобаламин), B6 (пиридоксин)",15.0,300.0,5902114015510,,,,,,,
Комплекс для суставов и связок Universal Nutrition Animal Flex 44 пакетика,Подвижность и здоровье суставов,Для связок и суставов,,США,44,24.0,3191,пакетики,"без консервантов, без красителей","мужчин и женщин, пожилых","Витамины, минералы,  	Глюкозамин (HCl и сульфат KCI), Метилсульфонилметан (MSM), Хондроитин сульфат А (CSA),  	Хондроитин сульфат B (CSB),  	Льняное масло (50% линоленовая кислота), Цетил миристолеат специальная смесь (цетил миристолеат, цетил миристат, цетил пальмитат, цетил лаурат, цетил пальмитолеат, цетил олеат), Гиалурон, Экстракт корня имбиря (gingerols, shogaols), Экстракт куркумы, Boswellia (boswellic acid), Кверцетин, Бромелаин., Дикальций фосфат, сывороточный протеин (молоко), shark cartilage, желатин, глицерин, соевое масло, очищенная вода, стеарат магния, стеариновая кислота.","C (аскорбиновая кислота), E (токоферол)",44.0,490.0,039442030528,"марганец, селен, цинк",,,,,,
Коллаген Red Star Labs Collagen + hyaluronic acid 300 г,Продлить молодость,Коллаген,,Россия,300,24.0,1760,порошок,"без консервантов, без лактозы, без сахара","мужчин и женщин, пожилых","коллаген гидролизованный, гиалуронат натрия, аскорбиновая кислота (Е300), регулятор кислотности лимонная кислота (Е330), ароматизатор пищевой, подсластитель сукралоза (Е955).",,60.0,300.0,4600778013095,,,,,,,
"Комплекс для связок и суставов Red Star Labs S-Joint (Glucosamine & Chondroitin + MSM), 120 капсул",Подвижность и здоровье суставов,Для связок и суставов,,США,120,24.0,1890,капсулы,,пожилых,"глюкозамин сульфат, хондроитин сульфат (из акульего хряща), метилсульфонилметан, гидролизированный коллаген, стеарат кальция/магния, желатин - оболочка капсулы, диоксид титана - краситель.",,60.0,140.0,4609879350023,,,,,,,
Экдистерон Red Star Labs Ecdysterone 3D Black 90 капсул,"Нарастить массу, Сбросить вес, Мужское здоровье",экдистерон,,Россия,90,24.0,2987,капсулы,"без консервантов, без красителей","мужчин и женщин, пожилых","экстракт цианотиса, D-аспарагиновая кислота, экстракт корней и корневищ диоскореи кавказской, экстракт семян пажитника, экстракт колеуса форсколии, микрокристаллическая целлюлоза (агент антислеживающий), экстракт травы горянки, магния стеарат (агент антислеживающий), диоксид кремния (агент антислеживающий), экстракт плодов черного перца, пиридоксина гидрохлорид (витамин В6), оболочка капсулы: желатин, глицерин (агент влагоудерживающий), вода, титана диоксид (краситель).",,90.0,120.0,4600324825196,,,,,,,
Аминокислотный комплекс BCAA Collagen IPH AGAA Man 200 г,"Подвижность и здоровье суставов, Восстановление",BCAA,,Россия,200,3.0,1620,порошок,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей, без сахара",мужчин,"L-Лейцин, L-Изолейцин, L-Валин, Глицин, Пролин, Оксипролин, Гидролизат коллагена.",,50.0,,4602009474095,,,,,,,
Энергетический гель Puls Nutrition Energy gel 40 г,Улучшить выносливость,Гели,,Финляндия,1,12.0,89,гель,"без ГМО, без аспартама, без глютена, без консервантов, без лактозы, без пальмового масла, без сои",мужчин и женщин,"мальтодекстрин (загуститель), вода, фруктоза, ароматизатор клубничный, идентичный натуральному, соль, лимонная кислота (регулятор кислотности), бензоат натрия (консервант), сорбат калия (консервант).",,1.0,40.0,,,,,,,,
Магниевая вода No Stress 350 мл,Избавление от стресса и депрессии,Напитки,,Россия,350,12.0,110,жидкость,,"мужчин и женщин, пожилых","Магний, Натрий, Калий, Кальций, Гидрокарбонаты",,1.0,380.0,4603738448258,"калий, кальций, магний, натрий",,,,,,
"Напиток QNT Actif Smart Vitamin 700 мл, вкус: клюква",Улучшить выносливость,Напитки,,Бельгия,700,12.0,230,жидкость,"с витаминами, с сахарозаменителем",мужчин и женщин,"Вода, регуляторы кислотности: Е330/Е331, ароматизатор, консерванты: Е202/Е211, клюквенный сок из концентрата 0,5%, подсластитель Е955, красители: Е102/Е122/Е133, вит. В3, С, В5, Е, В6, А, В12.","A (ретинол), B12 (цианокобаламин), B6 (пиридоксин), C (аскорбиновая кислота), E (токоферол)",1.0,750.0,5425002407018,,,,,,,
"Кокосовая вода Coconaut газированная, 320 мл",Продлить молодость,Напитки,,Польша,320,12.0,150,жидкость,с витаминами,беременных,"Кокосовая вода из молодых кокосов (99,36%), углекислый газ (0,6%), антиоксидант: аскорбиновая кислота (витамин С).",,1.0,,8936020052564,,,,,,,
Напиток спортивный QNT Amino Load 500 мл,Восстановление,Напитки,,Бельгия,500,365.0,300,жидкость,"без ГМО, без аспартама, без глютена, без консервантов, без крахмала, без пальмового масла, без сои",мужчин и женщин,"вода, глюкозно-фруктозный сироп, мальтодекстрин, изолят белка молочной сыворотки, ароматизатор, лимонная кислота Е330, красители Е124, азорубин Е122",,12.0,650.0,5425002409166,,3.0,Сывороточный изолят,,,,
Гиалуроновая кислота Quamtrax Nutrition Hyaluronic Acid (high molecular weigt) 60 капсул,"Женское здоровье, Продлить молодость",,,Испания,60,24.0,1270,капсулы,,"мужчин и женщин, пожилых","Гиалуронат натрия, мальтодекстрин, желатин,антислеживающий агенты - диоксид кремния и стеарат магния.",,30.0,,,,,,,,,
"Кокосовая вода Coconaut, 320 мл",Продлить молодость,Напитки,,Польша,320,12.0,160,жидкость,с витаминами,беременных,"Кокосовая вода из молодых кокосов (99,96%), антиоксидант: аскорбиновая кислота (витамин С).",,1.0,,8936020052533,,,,,,,
Glucosamine 500 г,"Восстановление, Прочность костей",Для связок и суставов,,Россия,500,24.0,1353,порошок,"без ГМО, без ароматизаторов, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без лактозы, без мальтодекстрина, без пальмового масла, без сахара, без сои, без соли, без сукралозы, без холестерина, без яиц","мужчин и женщин, пожилых",100% Глюкозамин,,100.0,520.0,4620768980350,,,,,,,
Комплекс для суставов и связок Vi Sano Ironbones 700 мг 90 капсул,Подвижность и здоровье суставов,Глюкозамин,,Россия,90,24.0,675,капсулы,вегетарианский,"мужчин и женщин, пожилых","Гарпогафитум, глюкозамин, хондроитин,Е460 (стабилизатор) 70 мг Е470 (эмульгатор) 25 мг Е551 (агент антислеживающий) 25 мг Оболочка капсулы (30 мг): желатин, вода, Е422",,90.0,63.0,4631139959233,,,,,,,
Напиток VPLab SlimFit L-carnitine + Caffeine 330 мл,"Сбросить вес, Улучшить выносливость",Напитки,,Великобритания,330,12.0,90,жидкость,с витаминами,мужчин и женщин,"вода, L-карнитин - 2000 мг, регуляторы кислотности E330, E290, ароматизатор, кофеина ангидрид - 165 мг, краситель: E150c, подсластитель: E955, D - кальция пантотенат, пиридоксина гидрохлорид, D-биотин, цианокобаламин. ",,1.0,370.0,5060255359723,,,,,,,
Коллаген Universal Nutrition Collagen 300 г,"Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Продлить молодость, Восстановление",Коллаген,,США,300,24.0,1680,порошок,с сахарозаменителем,"мужчин и женщин, пожилых","гидролизованный коллаген (I и III типа), ароматизатор (вкусовая субстанция, регуляторы кислотности: лимонная кислота (Е330), яблочная кислота (Е296); подсластители: сукралоза (Е955), ацесульфам калия (Е950); краситель Е102). Содержит краситель, который может оказывать отрицательное влияние на активность и внимание детей.",,60.0,300.0,,,,,,,,
Энергетик AI Sports Caffeine 240 капсул,"Избавление от стресса и депрессии, Улучшить выносливость",Энергетики,,США,240,24.0,1990,капсулы,,мужчин и женщин,"Кофеин - 200 мг, стеарат магния.",,240.0,240.0,804879195672,,,,,,,
Комплекс для суставов и связок Solgar Glucosamine Chondroitin Complex 75 таблеток,Подвижность и здоровье суставов,Глюкозамин,,США,75,24.0,2990,таблетки,с витаминами,"мужчин и женщин, пожилых","Хондроитина сульфат, Глюкозамина сульфат, Витамин С, кальций, натрий, магний ",,25.0,300.0,0033984012875,,,,,,,
"Напиток QNT Thermo Booster 700 мл, вкус: красные фрукты",Продлить молодость,Напитки,,Бельгия,700,12.0,190,жидкость,с сахарозаменителем,мужчин и женщин,"вода, подкислители: лимонная кислота E330,цитрат натрия E331; ароматизатор, L-карнитин, консерванты: сорбат натрия E202,сорбат калия E211; сок малины и граната, кофеин, подсластитель: сукралоза E955, экстракт гуараны, красители: тартразин E102, азорубин E122, экстракт зеленого чая.",,1.0,1000.0,5425002407001,,,,,,,
Коллаген Twist the planet Collagen + Vitamin C 150 г,"Подвижность и здоровье суставов, Продлить молодость",Коллаген,,Россия,150,24.0,1950,порошок,"без ГМО, без глютена","мужчин и женщин, пожилых","гидролизированный коллаген, витамин С (аскорбиновая кислота)",,25.0,,4631157163797,,,,,,,
Коллаген Magic Elements Collagen Liquid 3000 25 мл,"Подвижность и здоровье суставов, Красота и уход",Коллаген,,Германия,1,12.0,100,ампулы,"без сахара, с витаминами","мужчин и женщин, пожилых","Вода, гидролизат протеина (коллаген, 31,7%), фруктоза, лимонная кислота, ароматизатор, консерванты (сорбат калия), подсластители (сукралоза, ацесульфам К), эмульгатор (моно и диглицериды жирных кислот), пиридоксин гидрохлорид.",B6 (пиридоксин),1.0,25.0,4014871598906,,,,,,,
Препарат для суставов и связок aTech Nutrition Premium GCM Joint 90 капсул,"Подвижность и здоровье суставов, Прочность костей",Для связок и суставов,,Россия,90,24.0,960,капсулы,,"мужчин и женщин, пожилых","глюкозамина сульфат, хондроитина сульфат, метилсульфонилметан (МСМ), куркумин, гиалуроновая кислота, диоксид кремния, твердая капсула (желатин, краситель).",,45.0,200.0,,,,,,,,
Комплекс для связок и суставов Nature's Bounty Глюкозамин хондроитин 120 таблеток,Подвижность и здоровье суставов,Глюкозамин,,США,120,24.0,2990,таблетки,с витаминами,"мужчин и женщин, пожилых","Глюкозамин, Хондроитина сульфат, Витамин С, Кальций, Витамин Д3, Марганец, Флавоноиды",,120.0,120.0,099866447784,,,,,,,
Гиалуроновая кислота 300 мг GEON IDEAL STYLE 60 капсул,"Мужское здоровье, Женское здоровье, Красота и уход",Для связок и суставов,,Россия,60,730.0,850,капсулы,"без ГМО, без ароматизаторов, без консервантов, без красителей, без лактозы, без сахара, без сои",мужчин и женщин,Гиалуроновая кислота,,60.0,120.0,4640006012919,,,,,,,
Напиток Vitamin Well Antioxidant 500 мл,Красота и уход,Напитки,,Швеция,500,12.0,210,жидкость,с витаминами,мужчин и женщин,"Витамин С, витамин Е, цинк, селен, марганец, медь, экстракт зеленого чая, экстракт граната, экстракт бузины, экстракт кожуры винограда",,1.0,510.0,7350042715251,,,,,,,
Напиток спортивный QNT Carbo Load 700 мл,Улучшить выносливость,Напитки,,Бельгия,700,12.0,220,жидкость,с сахарозаменителем,мужчин и женщин,"Вода, сахарный сироп, регулятор кислотности Е330/Е331, консерванты Е202/Е211, концентрат сока малины и грейпфрута, кофеин, экстракт гуараны, экстракт зеленого чая, подсалститель Е955,краситель Е122/Е133",,1.0,1000.0,5425002406981,,,,,,,
Коллаген Magic Elements Collagen Liquid 3000 500 мл,"Подвижность и здоровье суставов, Продлить молодость",Коллаген,500.0,Германия,500,24.0,1140,жидкость,без сахара,мужчин и женщин,"Вода, гидролизат протеина (коллаген, 31,7%), фруктоза, лимонная кислота, ароматизатор, консерванты (сорбат калия), подсластители (сукралоза, ацесульфам К), эмульгатор (моно и диглицериды жирных кислот), пиридоксин гидрохлорид.",B6 (пиридоксин),20.0,,,,,,,,,
"Коллаген 1WIN Collagen / Hyaluronic Acid / Mumiyo + Vitamin C, 60 капсул",Продлить молодость,Коллаген,,Россия,60,24.0,1130,капсулы,с витаминами,пожилых,"	коллаген гидролизованный, мумиё алтайское, глюкозамина сульфат, витамин С (аскорбиновая кислота), натрия гиалуронат, дигидрокверцетин, березовый экстракт. Вспомогательные вещества: целлюлоза микрокристаллическая (носитель), капсула желатиновая (желатин, глицерин), антислеживатели: кальция стеарат, кремния диоксид.",,30.0,120.0,4630040222726,,,,,,,
"Комплекс для суставов и связок Trec Nutrition Flex Guard 375 г, вкус: манго-апельсин",Подвижность и здоровье суставов,Для связок и суставов,,Польша,375,24.0,2630,порошок,с витаминами,"мужчин и женщин, пожилых","гидролизованный коллаген I типа; мальтодекстрин; МСМ (метилсульфонилметан); регулятор кислотности – лимонная кислота; глюкозамин сульфат 2KCl; гидролизованный коллаген II типа; L-пролин; магниевые соли лимонной кислоты; порошок Мэг-3® – микрокапсулы рыбьего жира [60% рафинированного рыбьего жира; желатин; антикоагулянты – фосфат натрия, силикат кальция; мальтодекстрин; регуляторы кислотности – аскорбат натрия, лимонная кислота; рапсовое масло; аромат; антиоксидант – токоферолы; подсолнечное масло]; регулятор кислотности – яблочная кислота; кальциевые соли ортофосфорной кислоты; ароматизаторы; хондроитинсульфат; витамин С (L-аскорбиновая кислота); краситель для аромата манго и апельсина – бета-каротин; подсластитель – сукралоза; гиалуронат натрия; краситель для аромата лесной ягоды – азорубин.",C (аскорбиновая кислота),25.0,410.0,5902114012403,"кальций, магний",,,,,,"DHA, EPA"
Комплекс для суставов и связок Hardlabz Elasti Flex 375 г,"Подвижность и здоровье суставов, Прочность костей",Для связок и суставов,,США,375,730.0,2170,порошок,"без ГМО, без глютена, без консервантов, без лактозы, без мальтодекстрина, без пальмового масла, без сахара",мужчин и женщин,"Гидролизованный коллаген, Метилсульфонилметан (МСМ), Глюкозамина сульфат, Хондроитина сульфат, Витамин С, Ароматизатор, регулятор кислотности - лимонная кислота, подсластитель - сукралоза, эмульгатор – соевый лецитин, загуститель – камедь гуаровая, краситель Понсо.",,30.0,425.0,4630018862404,,,,,,,
Препарат для суставов и связок Solgar Глюкозамин хондроитин плюс 150 таблеток,"Подвижность и здоровье суставов, Прочность костей","Глюкозамин, Для связок и суставов",,США,150,24.0,6090,таблетки,без сахара,"мужчин и женщин, пожилых"," Глюкозамина сульфат, хондроитинсульфат натрия, аскорбат кальция, растительная целлюлоза (носитель), микрокристаллическая целлюлоза (носитель), диоксид кремния (антислеживающий агент), магниевая соль стеариновой кислоты (антислеживающий агент), марганца глицинат хелат, стеариновая кислота (носитель), глицерин (носитель).",C (аскорбиновая кислота),150.0,100.0,33984012882,марганец,,,,,,
"Комплекс для связок и суставов FIT-Rx Flex Force, 500 мл",Подвижность и здоровье суставов,Для связок и суставов,,Россия,500,24.0,1890,жидкость,с витаминами,пожилых,"Глюкозамин, хондроитин, коллаген, метилсульфонилметан",,20.0,658.0,4607087122272,,,,,,,
Растительное молоко кокосовое с рисом Bite 1000 мл,"Мужское здоровье, Женское здоровье","Напитки, Суперфуд",,Испания,1000,12.0,320,жидкость,без сахара,"беременных, детей, мужчин и женщин, пожилых","Вода, рис длиннозерный, кокос (паста, стружка), масло подсолнечное высокоолеиновое холодного отжима, натуральный ароматизатор, витаминно-минеральный премикс (витамин D2, витамин В2 (рибофлавин), витамин В12, кальций (трикальций фосфат, карбонат кальция), соль морская, стабилизатор: каррагинан из водорослей.",,10.0,,4650062591983,кальций,,,,,,
"Комплекс для связок и суставов FIT-Rx Collagen, 500 мл",Подвижность и здоровье суставов,Для связок и суставов,,Польша,500,24.0,1610,жидкость,с витаминами,пожилых,"Подготовленная питьевая вода, гидролизат коллагена, подсластитель – «Мультисвит Фрут В» (фруктоза, Е951), регулятор кислотности – лимонная кислота, ароматизаторы – «Чёрная смородина», «Апельсин», консервант – бензоат натрия, загуститель – КМЦ, смесь подсластителей – «Мультисвит 200С», витамины: С, B3, B5, B6, B1, фолиевая кислота, B7, B12. Допускается выпадение естественного осадка.",,20.0,600.0,4607087122463,,,,,,,
