name,Цель,Тип,"Объем, мл",Страна производитель,Количество в упаковке,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,Витамины,Количество порций,"Вес нетто, г",Штрихкод,Минералы,Белок: грамм в 1 порции,Вид белка,Форма креатина,Материал,Вид транспортной системы,Вид омега-3
"Комплекс для связок и суставов ACADEMY-T Sustamin Forte, 180 капсул",Подвижность и здоровье суставов,Для связок и суставов,,Россия,180,24.0,1890,капсулы,с витаминами,пожилых,"коллаген гидролизат, глюкозамина сульфат, хондроитина сульфат,биологически активные белки молока, фосфат кальция, меди сульфат, марганца ацетат тетрагидрат, магния оксид, метилсульфонилметан, аскорбиновая кислота, альфа токоферола ацетат, d-биотин, пиридоксина гидрохлорид, витамин D3, вспомогательное вещество-желатин",,30.0,240.0,4607055681244,,,,,,,
Комплекс с коллагеном Геладринк Форте Люкс 14 саше,Подвижность и здоровье суставов,Коллаген,,Чехия,14,24.0,2740,пакетики,с витаминами,"мужчин и женщин, пожилых","пептиды гидролизата коллагена, Гидроксипролин,  Глюкозамин сульфат 2КСl,  Хондроитинсульфат, Метилсульфонилметан, витамин С, витамин Е, селен, медь, марганец, Босвеллия Серрата (экстракт)","C (аскорбиновая кислота), E (токоферол)",14.0,196.0,8594004695697,"марганец, медь, селен",,,,,,
Гиалуроновая кислота Jarrow Formulas Hyaluronic Acid 60 капсул,"Подвижность и здоровье суставов, Женское здоровье, Продлить молодость",Для связок и суставов,,США,60,24.0,2530,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","гиалуроновая кислота - 120 мг, целлюлоза (носитель), носитель гидроксипропилметилцеллюлоза (оболочка капсулы), антислеживающие агенты: диоксид кремния, магниевая соль стеариновой кислоты.",,30.0,,,,,,,,,
Комплекс с коллагеном Геладринк Фаст 360 капсул,Подвижность и здоровье суставов,Коллаген,,Чехия,360,24.0,4055,капсулы,с витаминами,"мужчин и женщин, пожилых","Пептидный коллагеновый гидролизат «Gelita®»,  Босвеллия Серрата, витамин С, витамин Е, селен","C (аскорбиновая кислота), E (токоферол)",30.0,265.0,8594004693020,селен,,,,,,
"Кокосовая вода Foco с соком граната, 330 мл",Продлить молодость,Напитки,,Вьетнам,330,12.0,240,жидкость,с витаминами,мужчин и женщин,"натуральная кокосовая вода 94,90%, гранатовый сок 5%, витамин С.",,1.0,,016229917609,,,,,,,
Морской Коллаген II типа (с чагой) для подвижности суставов 40 г,"Подвижность и здоровье суставов, Прочность костей",Коллаген,,Россия,40,24.0,1490,порошок,"без ароматизаторов, без консервантов, без красителей, без сахара","мужчин и женщин, пожилых","Морской коллаген II типа, экстракт чаги сухой.",,80.0,40.0,,,,,,,,
L-Карнитин Fit-RX BCAA + L-KAR 500 миллилитров,"Нарастить массу, Сбросить вес, Мужское здоровье, Женское здоровье, Улучшить выносливость, Восстановление","BCAA, Карнитин (L-карнитин)",,Россия,500,12.0,170,жидкость,без сахара,мужчин и женщин,"Подготовленная питьевая вода, BCAA Instant (лейцин, валин, изолейцин), L-карнитин, вкусо-ароматическая основа «Мультифрукт», регулятор кислотности - лимонная кислота Е330, ароматизаторы - согласно вкусу, смесь подсластителей - «Мультисвит 200С» (Е951, Е950, Е954, E952), пищевая добавка - нейтральная эмульсия, консерванты - бензоат натрия Е211, сорбат калия Е202, краситель - аллюра красный Е129 или виноградный (Е122, Е133).",,1.0,500.0,4630018861858,,6.0,,,,,
Коллаген Fine Коллаген с Витамином С 210 г,"Мужское здоровье, Женское здоровье, Продлить молодость, Прочность костей",Коллаген,,Япония,210,36.0,14490,,с витаминами,"мужчин и женщин, пожилых","коллаген, трегалоза, молоко сгущенное порошок, экстракт жемчуга, сафлоровое масло нерафинированное, витамин C, ароматизатор натуральный «ваниль», лецитин соевый (Е 322), сукралоза (Е 955), пептиды эластина, гиалуроновая кислота.",C (аскорбиновая кислота),42.0,210.0,,,,,,,,
Комплекс с коллагеном Геладринк Артродиет 360 капсул,Подвижность и здоровье суставов,Коллаген,,Чехия,360,24.0,2950,капсулы,с витаминами,"мужчин и женщин, пожилых","Пептидный коллагеновый гидролизат «Gelita®», витамин С, витамин Е, Экстракт расторопши пятнистой, цинк, биотин, селен, Витамин D3 Витамин В6, Фолиевая кислота, Витамин В12","B12 (цианокобаламин), B6 (пиридоксин), B9 (фолиевая кислота), D3 (холекальциферол), E (токоферол)",40.0,275.0,8594004693037,"селен, цинк",,,,,,
Напиток слабогазированный FITNESS FOOD FACTORY Vitamin Water 500 мл,"Улучшить выносливость, Продлить молодость",Напитки,500.0,Россия,500,12.0,90,жидкость,"без сахара, с витаминами","мужчин и женщин, пожилых","подготовленная питьевая вода, регулятор кислотности - лимонная кислота Е330, ароматизатор в зависимости от вкуса, смесь подсластителей - «Аспасвит К» (Е952, Е954, Е950), консервант - сорбат калия Е202, витаминно-минеральный премикс, краситель – в зависимости от вкуса","B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), D3 (холекальциферол)",,,,"калий, кальций, магний, фосфор, цинк",,,,,,
Изотоник RLineI SO up 450 г,"Улучшить выносливость, Восстановление",Изотоники,,Россия,450,24.0,590,порошок,"с витаминами, с сахарозаменителем",мужчин и женщин,"фруктоза, декстроза, мальтодекстрин, лимонная кислота, аскорбиновая кислота, кофеин безводный, таурин, экстракт гуараны (10% кофеина), витаминно-минеральный премикс, ароматизатор, идентичный натуральному, концентрат натурального сока, подсластитель (сукралоза). * Величины показателей пищевой ценности могут отличаться от табличных значений с учетом колебаний их содержания в натуральном сырье.","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",18.0,450.0,,"железо, йод, калий, кальций, магний, марганец, медь, хром, цинк",,,,,,
Коллаген VPLab Beauty Collagen Liquid 10 мл 10 ампул,"Подвижность и здоровье суставов, Женское здоровье, Красота и уход, Продлить молодость",Коллаген,100.0,Великобритания,10,24.0,1190,ампулы,с витаминами,"мужчин и женщин, пожилых","гидролизованный коллаген, очищенная вода, концентрат черничного сока, концентрат гранатового сока, подкислитель (лимонная кислота), натуральный ароматизатор фруктового пунша, подсластитель (сукралоза), холин (в виде хлорида холина), ниацин (в виде ниацинамида), антиоксидант (аскорбиновая кислота), подсолнечное масло, витамин В6 (в виде пиридоксина гидрохлорида), тиамин (в виде тиамина гидрохлорида), натуральный ароматизатор клубники, натуральный ароматизатор киви, фолиевая кислота, биотин, витамин В12 (в виде цианокобаламина).","B1 (тиамин), B12 (цианокобаламин), B7 (биотин), B9 (фолиевая кислота), холин",10.0,,5060255359907,,,,,,,
L-карнитин О12 L-Carnitine 1500 500 мл,"Сбросить вес, Улучшить выносливость","Карнитин (L-карнитин), Напитки",,Россия,500,12.0,140,жидкость,без сахара,мужчин и женщин,"Вода подготовленная, витаминоподобное вещество — L-карнитин L-тартрат, регулятор кислотности — лимонная кислота, краситель натуральный Красный (концентраты соков моркови и граната), ароматизатор натуральный Малина, подсластитель — сукралоза, краситель — сахарный колер IV",,1.0,550.0,4607960490344,,,,,,,
Напиток слабогазированный FITNESS FOOD FACTORY L-Carnitine 2000 500 мл,"Сбросить вес, Улучшить выносливость",Напитки,,Россия,1,12.0,110,,без сахара,мужчин и женщин,"подготовленная питьевая вода, L-карнитин, регулятор кислотности - лимонная кислота Е330, ароматизатор - «Лимон», смесь подсластителей - «Мультисвит 200С» (Е951, Е950, Е954, E952), консервант - бензоат натрия Е211",,1.0,500.0,4603763857735,,,,,,,
BCAA О12 BCAA 5000 500 миллилитров,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление","BCAA, Напитки",,Россия,500,12.0,140,,без сахара,мужчин и женщин,"(для вкуса ""Красный апельсин""): Вода подготовленная, смесь аминокислот BCAA (L-лейцин, L-валин, L-изолейцин), регуляторы кислотности — лимонная кислота и цитрат натрия, ароматизатор натуральный Апельсин, замутнитель, красители натуральные — Красный (концентраты соков моркови и граната) и Желтый (концентраты соков сафлоры и лимона), подсластитель — сукралоза. (для вкуса ""Яблоко""): Вода подготовленная, смесь аминокислот BCAA (L-лейцин, L-валин, L-изолейцин), регуляторы кислотности — лимонная кислота и цитрат натрия, ароматизатор натуральный Яблоко, краситель — сахарный колер IV, подсластитель — сукралоза",,1.0,550.0,4607960490443,,,,,,,
Энергетический напиток Bombbar ENERGY BCAA  2:1:1 Guarana 330 мл,Улучшить выносливость,Энергетики,330.0,Россия,330,12.0,210,жидкость,"без сахара, с витаминами",мужчин и женщин,"вода подготовленная, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), L-лейцин, L-изолейцин, L-валин, экстракт семян гуараны, ароматизаторы, кофеин, гуммиарабик, ксантановая камедь, подсластитель сукралоза, бензоат натрия, краситель сахарный колер IV, витамины (С, В1, В3, В5, В6, В7, В9, В12).","B1 (тиамин), B12 (цианокобаламин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",1.0,,,,,,,,,
Пептидный комплекс STL IPH AEN MSM для суставов и связок 90 капсул,"Подвижность и здоровье суставов, Восстановление, Прочность костей",Для связок и суставов,,Россия,90,36.0,1290,капсулы,,мужчин и женщин," Сырье для пищевой промышленности ""MSM Peptide IPH AEN/MCM Пептид IPH AEN"" (метилсульфонилметан, пептидный комплекс IPH AEN), желатиновая капсула (содержит желатин, красители: диоксид титана, индигокармин), L-аскорбиновая кислота, витамин D3.",C (аскорбиновая кислота),90.0,87.0,4602009474194,,,,,,,
Энергетический напиток Wow Energy без сахара 500 мл,Улучшить выносливость,Напитки,500.0,Россия,500,12.0,130,жидкость,"без сахара, с витаминами",мужчин и женщин,"вода подготовленная, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), таурин, экстракт семян гуараны, экстракт Женьшеня ароматизаторы натуральные, магния цитрат, кофеин, сорбат калия, подсластитель сукралоза, Красящий концентрат из черной моркови, бензоат натрия, краситель натуральный Е150d, витамины (В6, В3, В5, В9, В12, В1, С)","B5 (пантотеновая кислота), B6 (пиридоксин), C (аскорбиновая кислота)",1.0,,,,,,,,,
Напиток Oxy Balance Tonus 400 мл,Продлить молодость,Напитки,400.0,Россия,400,24.0,160,жидкость,"без красителей, без сахара","мужчин и женщин, пожилых","подготовленная питьевая вода, регулятор кислотности - лимонная кислота, экстракт родиолы розовой, теанин, экстракт гуараны, экстракт зеленого чая, экстракт лимонника, консервант - сорбат калия, ароматизаторы, подсластитель - сукралоза, экстракт коры йохимбе.",,1.0,,4630018862602,,,,,,,
Комплекс для связок и суставов Natrol Hyaluronic Acid MSM Glucosamine 90 капсул,Подвижность и здоровье суставов,Для связок и суставов,,США,90,24.0,2480,капсулы,вегетарианский,"мужчин и женщин, пожилых","Глюкозамин гидрохлорид, Метилсульфатметан, Гиалуроновая кислота, Гипромеллоза,вода, стеарат магния.",,90.0,120.0,047469045159,,,,,,,
"Комплекс для связок и суставов ACADEMY-T Sustamin, 180 капсул","Подвижность и здоровье суставов, Прочность костей",Для связок и суставов,,Россия,180,24.0,1870,капсулы,с витаминами,"мужчин и женщин, пожилых","коллаген гидролизат, глюкозамина сульфат, хондроитина сульфат, Osteol®, фосфат кальция, меди сульфат, марганца ацетат тетрагидрат, магния оксид, аскорбиновая кислота, альфа токоферола ацетат, d-биотин, пиридоксина гидрохлорид, витамин D3, вспомогательное вещество-желатин","B6 (пиридоксин), B7 (биотин), C (аскорбиновая кислота), E (токоферол)",30.0,185.0,4607055681152,"кальций, магний, марганец, медь",1.0,,,,,
"Энергетик FIT-Rx Guarana 1250, 500 мл",Сбросить вес,Энергетики,,Россия,500,12.0,1680,жидкость,с сахарозаменителем,мужчин и женщин,"Подготовленная питьевая вода, экстракт гуараны, подсластитель - «Мультисвит Фрут В» (фруктоза, E951), регулятор кислотности – лимонная кислота, ароматизатор - «Вишня», загуститель – конжаковая камедь, смесь подсластителей – «Мультисвит 200С», консерванты – бензоат натрия, сорбат калия. Допускается выпадение естественного осадка.",,50.0,650.0,4630018861261,,,,,,,
Коллаген aTech Nutrition Premium Collagen Beauty 5 in 1 60 капсул,"Женское здоровье, Продлить молодость, Прочность костей",Коллаген,,Россия,60,24.0,1160,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","масло оливковое нерафинированное, коллаген рыбный гидролизованный (пептиды), гиолуроновая кислота, цинка халат, биотин, натрия селенит, моностеарат глицерина (эмульгатор), оболочка (желатин, агент влагоудерживающий глицерин, вода очищенная).",B7 (биотин),60.0,,,"селен, цинк",,,,,,
Напиток негазированный с содержанием сока FITNESS FOOD FACTORY Isotonic water 500 мл,"Улучшить выносливость, Восстановление",Напитки,500.0,Россия,1,12.0,110,,"без сахара, с витаминами",мужчин и женщин,"подготовленная питьевая вода, вкусо-ароматическая основа «Мультифрукт», регулятор кислотности - лимонная кислота Е330, ароматизаторы: магния сульфат, натрия хлорид, кальция лактат, цитрат натрия Е331, калия хлорид, консерванты: бензоат натрия Е211, сорбат калия Е202, смесь подсластителей - «Мультисвит 200С» (Е951, Е950, Е954, E952), витамины: С, В3, В5, В6, В1, фолиевая кислота, В7, В12, краситель – карамельный колер Е150d.",,1.0,,4603763857599,"калий, магний, натрий",,,,,,
"Изотоник Science In Sport (SIS) Rego Rapid Recovery, 50 г 18 шт",Улучшить выносливость,Изотоники,,Великобритания,18,24.0,3169,пакетики,с сахарозаменителем,мужчин и женщин,"смесь углеводов (53%) (Мальтодекстрин (из кукурузы), фруктоза), белки (27%) (изолят соевого белка), какао-порошок, электролиты (6%) (хлорид натрия, лактат кальция, фосфат кальция, оксид магния), загуститель (ксантановая камедь), эмульгатор (соевый лецитин), L-карнитин тартрат, витамины (&amp;lt;1%) (л-аскорбиновая кислота, никотинамид, сульфат цинка, d-альфа-токоферола ацетат, пирофосфат железа, D-пантотенат кальция, пиридоксин гидрохлорид, рибофлавин, тиамин монони- трат, кальциевые соли лимонной кислоты, ретинол ацетата, птероилмоноглютаминовые кислоты, D-биотин, йодид калия, холекальциферол, цианокобаламин), арома- тизаторы, подсластитель (аспартам).",,18.0,900.0,5025324007042,,,,,,,
Энергетический гель BOMBBAR ENERGEL 60 мл 25 шт,"Улучшить выносливость, Восстановление",Гели,,Россия,25,12.0,2250,гель,с сахарозаменителем,мужчин и женщин,"мальтодекстрин, вода, фруктоза, экстракт гуараны, ВСАА, регулятор кислотности (лимонная кислота), хлорид натрия (соль пищевая), загуститель (ксантановая камедь), натуральные красители (кармин, сахарный колер), ароматизаторы натуральные, антиокислитель (аскорбиновая кислота), консервант (сорбат калия), подсластитель (сукралоза).",,25.0,1500.0,4680046728883,,,,,,,
Энергетик Activlab Energy Shot 100 мл 12 шт,Улучшить выносливость,Энергетики,,Польша,12,12.0,1680,ампулы,с сахарозаменителем,мужчин и женщин,"вода, аминокислоты (таурин, L-фенилаланин, L-тирозин), кофеин, витамины (L-аскорбиновая кислота, пиридоксин гидрохлорид, амид никотиновой кислоты, фолиевая кислота, цианокобаламин), регулятор кислотности (лимонная кислота, мальтодекстрин), ароматизаторы, красители (каротины), подсластители (аспартам, ацесульфам калия и сукралоза).",,12.0,1500.0,5907368899565,,,,,,,
Глюкозамин RPS Nutrition Glucosamine 300 г нейтральный,Подвижность и здоровье суставов,Для связок и суставов,,Россия,300,24.0,1290,порошок,"без консервантов, без красителей, без сахара","мужчин и женщин, пожилых",100% Глюкозамин,,60.0,395.0,2000324764891,,,,,,,
Коллаген NOW BioCell Collagen Hydrolyzed Type II 120 капсул,"Подвижность и здоровье суставов, Продлить молодость",Коллаген,,США,120,24.0,5240,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","BioCell Collagen - запатентованный экстракт из куриного грудинного хряща (гидролизованный коллаген 2 типа, хондроитинсульфат, гиалуроновая кислота), гипромеллоза (целлюлозная капсула), микрокристаллическая целлюлоза, стеариновая кислота (растительный источник) и диоксид кремния. При производстве не используются дрожжи, пшеница, глютен, соя, кукуруза, молоко, яйца, рыба, моллюски и ингредиенты из древесных орехов. Произведено согласно стандарту надлежащей производственной практики (GMP) на предприятии, где выполняется обработка других ингредиентов, содержащих эти аллергены.",,60.0,100.0,,,,,,,,
"Комплекс для связок и суставов ACADEMY-T Сустамин Форте, 120 капсул",Подвижность и здоровье суставов,Для связок и суставов,,Россия,120,24.0,1350,капсулы,с витаминами,пожилых,"коллаген гидролизат, глюкозамина сульфат, хондроитина сульфат,биологически активные белки молока, фосфат кальция, меди сульфат, марганца ацетат тетрагидрат, магния оксид, метилсульфонилметан, аскорбиновая кислота, альфа токоферола ацетат, d-биотин, пиридоксина гидрохлорид, витамин D3, вспомогательное вещество-желатин",,20.0,165.0,4607055680445,,,,,,,
"Напиток газированный NOCCO BCAA с кофеином, без сахара 330 мл","Улучшить выносливость, Восстановление",Напитки,,Швеция,330,12.0,201,жидкость,с витаминами,мужчин и женщин,"газированная вода, аминокислоты BCAA с разветвленной цепью (L-лейцин, L-валин, L-изолейцин), кофеин, витамины (ниацин, B6, фолиевая кислота, биотин, D, B12), регулятор кислотности (лимонная кислота), ароматизаторы, подсластитель (сукралоза), краситель (бета-каротин).","B12 (цианокобаламин), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), D3 (холекальциферол)",1.0,,7340131602395,,,,,,,
Тонизирующий напиток GEON Nitro Effect 500 мл,Улучшить выносливость,Напитки,500.0,Россия,500,12.0,180,жидкость,,мужчин и женщин,"вода подготовленная, глицерин (стабилизатор E422), L-аргинина альфа кетоглюторат, бета-аланин, лимонная кислота (регулятор кислотности E330), таурин, трикреатина цитрат, гуараны экстракт сухой (20% кофеина), L-карнитин, гистидин, смесь ароматизаторов, ксантановая камедь (загуститель E415), сукралоза (подсластитель E955), бензонат натрия (консервант E211), кармин 4% (краситель E120), никотинамид (витамин B3), женьшеня экстракт, пиридоксина г/х (витамин B6).",B6 (пиридоксин),1.0,,4640006014104,,,,,,,
Гель Science In Sport (SIS) Go Energy+Caffeine 60 мл 30 штук,Сбросить вес,Гели,,Великобритания,30,365.0,7350,,,мужчин и женщин,"вода, мальтодекстрин (из кукурузы), гелеобразующие агенты (геллановая камедь, ксантановая камедь), натуральный ароматизатор, регуляторы кислотности (лимонная кислота, цитрат натрия),Кофеин, консерванты (бензонат натрия, сорбат калия), подсластитель (ацесульфам К), хлорид натрия, антиоксидант (аскорбиновая кислота).",,30.0,1800.0,5025324022755,,,,,,,
Напиток Oxy Balance негазированный 400 мл,Продлить молодость,Напитки,,Россия,400,12.0,150,жидкость,"без ГМО, без консервантов, без красителей, с витаминами",мужчин и женщин,"Подготовленная питьевая вода, витаминно-минеральный премикс «OXY BALANCE», калия хлорид, кальция лактат, натрия хлорид, магния сульфат, регулятор кислотности: аскорбиновая кислота, лимонная кислота, ароматизатор, консервант – сорбат калия, подсластитель – сукралоза. Допускается выпадение естественного осадка.","B3/PP (никотиновая кислота/ниацин), B9 (фолиевая кислота), C (аскорбиновая кислота)",1.0,450.0,4630018861933,"калий, кальций, магний, натрий, фосфор, цинк",,,,,,
Энергетик Bombbar Guarana 2000 60 мл 12 шт,"Сбросить вес, Улучшить выносливость",Энергетики,,Россия,12,12.0,1440,ампулы,без сахара,мужчин и женщин,"подготовленная столовая минеральная вода, концентрированный сок яблоко, экстракт гуараны, регулятор кислотности - лимонная кислота, подсластитель сукралоза, натуральный ароматизатор, консерванты: сорбат калия, бензоат натрия. Содержит натуральные экстракты: яблоко, вишня, зеленый чай. Минимальное содержание сока 5%.",,12.0,,,,,,,,,
Аминокислотный пептидный комплекс IPH AEN BCAA Collagen для хрящей 120 таблеток,"Подвижность и здоровье суставов, Восстановление, Прочность костей",BCAA,,Россия,120,730.0,1650,таблетки,"без ГМО, без ароматизаторов, без глютена, без консервантов, без лактозы, без сахара, без сои",мужчин,"L-Лейцин, L-Изолейцин, L-Валин, Глицин, Пролин",,40.0,140.0,4602009379093,,,,,,,
Энергетик Natrol Guarana 200 мг 90 капсул,"Сбросить вес, Улучшить выносливость",Энергетики,,США,90,24.0,1280,капсулы,,мужчин и женщин,"Экстракт гуараны, Рисовая мука, желатин, мальтодекстрин, вода, стеарат магния.",,90.0,85.0,047469008000,,,,,,,
Энергетический гель ACADEMY-T GEL4U Energy Gel 60 мл,Улучшить выносливость,Гели,,Россия,1,12.0,150,гель,без аспартама,мужчин и женщин,"вода, мальтодекстрин, фруктоза кристаллическая, агенты желирующие (ксантановая камедь), натриевая соль карбоксиметил целлюлозы, регулятор кислотности (яблочная кислота), консерванты (бензонат натрия, сорбат калия), ароматизаторы пищевые.",,1.0,,,,,,,,,
Energy Gel +caffeine,Улучшить выносливость,Гели,,Великобритания,41,,150,,,,"Мальтодекстрин,вода,фруктоза,экстракт гуараны, тринатрия цитрат,соль, подкислитель (лимонная кислота), ароматизатор, консервант(сорбат калия), эмульгатор(E471).",,1.0,45.0,2000324837458,,,,,,,
Энергетик Liquid & Liquid Guarana Viper 3000 25 мл 20 ампул,"Сбросить вес, Улучшить выносливость",Энергетики,,Германия,20,12.0,3600,ампулы,с витаминами,мужчин и женщин,"Тирозин, холин, таурин, экстракт гуараны, кофеин, экстракт зеленого чая, экстракт листьев Гинкго Билоба",,20.0,,4141212176421,,,,,,,
