name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,"Вес нетто, г",Минералы,Витамины,Штрихкод,Белок: грамм в 1 порции,"Объем, мл",Материал,Форма креатина,Вид транспортной системы,Вид белка
"Аминокислота Chikalab L-Lysine 1200 мг, 90 капсул","Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Красота и уход, Продлить молодость",Аминокислоты отдельные,Россия,90,45.0,24.0,526,капсулы,,мужчин и женщин,"L-лизин, желатиновая капсула (желатин – загуститель, вода).",180.0,,,4603745403257,,,,,,
L-Карнитин Mote L-carnitine 1120 мг 60 капсул,"Сбросить вес, Продлить молодость",Карнитин (L-карнитин),Россия,60,30.0,24.0,960,капсулы,без ГМО,мужчин и женщин,L-карнитин L-тартрат,,,,7930081190020,,,,,,
Аминокислота Тианин Chikalab Theanine 60 капсул,Избавление от стресса и депрессии,Аминокислоты отдельные,Россия,60,30.0,24.0,690,капсулы,,мужчин и женщин,"экстракт зеленого чая (L-теанин), желатиновая капсула (желатин – мальтодекстрин загуститель, вода).",120.0,,,4063745403301,,,,,,
L-карнитин Magic Elements L-Carnitine Liquid 3000 1000 мл,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),Германия,1000,40.0,24.0,2160,жидкость,без сахара,"мужчин и женщин, пожилых","Вода, Л-Карнитин (11,5%), фруктоза, лимонная кислота, ароматизатор, консерванты (сорбат калия), подсластители (цикламат натрия, ацесульфам К, сукралоза, сахарин), пиридоксин гидрохлорид.",,,,,,1000.0,,,,
Аминокислотный комплекс GEON AAKG NITRO POWER 120 таблеток,"Нарастить массу, Мужское здоровье, Улучшить выносливость",Оксид азота (NO),Россия,120,20.0,24.0,1079,таблетки,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,"L-Аргинина альфа-кетоглюторат, мкц (наполнитель), желатин, стеарат кальция (антислеживатель). Не содержит сахар, соль, дрожжи, пшеницу, глютен, кукурузу, сою, молоко, яйца, моллюски и консерванты.",,,,4640006011660,,,,,,
Глютамин ALLNUTRITION GLUTAMINE Recovery Amino 500 г,Восстановление,Глютамин,Польша,500,100.0,24.0,2150,порошок,"без ароматизаторов, без консервантов, без красителей",мужчин и женщин,"80% L-глютамина, 10% таурина, аскорбиновая кислота - витамин C.",500.0,,C (аскорбиновая кислота),5902837702698,,,,,,
Карнитин aTech Nutrition Premium L-Carnitine 3in1 Slim effect  60 капсул,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),Россия,60,60.0,24.0,770,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","Масло сафлоровое нерафинированное, масло оливковое нерафинированное, аминокислота L-карнитин, экстракт зеленого чая (60%), моностеарат глицерина (эмульгатор), оболочка (желатин, агент влагоудерживающий глицерин, вода очищенная).",,,,,,,,,,
L-карнитин Magic Elements L-Carnitine Liquid Energy Storm 1000 мл,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Германия,1000,40.0,24.0,1760,жидкость,без сахара,"мужчин и женщин, пожилых","вода, L-карнитин, регулятор кислотности молочная кислота, L-аргинин, таурин, кофеин, ароматизатор малина (ароматические вещества, мальтодекстрин, стабилизатор гуммиарабик, носители пропиленгликоль и триацетин, этиловый спирт), консервант сорбат калия, подсластители цикламат натрия, ацесульфам калия, сукралоза и сахарин.",,,,4014871596728,,1000.0,,,,
Карнитин FIT L-Carnitine 1800 25 мл 20 ампул,"Сбросить вес, Улучшить выносливость","Для снижения веса, Карнитин (L-карнитин)",Россия,20,40.0,12.0,1100,ампулы,"без сахара, с сахарозаменителем",мужчин и женщин,"вода, L-карнитина тартрат, растворимые пищевые волокна-камедь акации, ксантовая камедь; экстракт плодов опунции фикус-индика, регулятор кислотности - цитрат натрия, ароматизатор пищевой «виноград», подсластители: ацесульфам калия, сукралоза, цикламат натрия; консервант бензоат натрия",720.0,,,4607055681558,,,,,,
Аргинин Hardlabz AAKG 300 г,"Нарастить массу, Мужское здоровье, Улучшить выносливость, Восстановление",Аргинин,Россия,300,60.0,24.0,2030,порошок,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,L-аргинин альфа-кетоглуторат,350.0,,,4630018862381,,,,,,
Аминокислота Solgar L-Glutamine 1000 мг 60 таблеток,Восстановление,Глютамин,США,60,60.0,24.0,1330,таблетки,без красителей,мужчин и женщин,L-Глутамин,245.0,,,033984012547,,,,,,
Д-аспарагиновая кислота ALLNUTRITION DAA Instant 300 грамм,"Мужское здоровье, Женское здоровье, Восстановление",д-аспарагиновая кислота,Польша,300,60.0,24.0,1520,порошок,"без глютена, без лактозы, без сахара",мужчин и женщин,"D-аспартат натрия, Цинк, Витамин В6, Пантотеновая Кислота",300.0,цинк,B5 (пантотеновая кислота),5902837719214,,,,,,
Карнитин L-Carnitine 2000 mg 700 мл,Сбросить вес,Напитки,Бельгия,700,7.0,24.0,190,,,мужчин и женщин,"Вода, регуляторы кислотности E330/E331, L-карнитин, ароматизатор, консерванты E202/E211, клюквы и лимонный соки из концентрата, подсластитель E955, красители E122/E110",1000.0,,,5425002406967,,,,,,
"Таурин aTech Nutrition TAURIN, 60 капсул","Мужское здоровье, Женское здоровье, Улучшить выносливость, Восстановление",Таурин,Россия,60,60.0,24.0,510,капсулы,"без ГМО, без глютена, без сахара",мужчин и женщин,"желатин, таурин, диоксид титана",90.0,,,4630019676024,,,,,,
Glutamine 200 капс,,Глютамин,Россия,200,66.0,,740,,,,"L-глютамин, желатин (капсулы).",250.0,,,4600778002099,,,,,,
Аминокислота Таурин Chikalab Taurine 60 капсул,"Сбросить вес, Улучшить выносливость",Таурин,Россия,60,60.0,24.0,518,капсулы,,мужчин и женщин,"Таурин, желатиновая капсула (желатин – загуститель, вода).",120.0,,,4603745403271,,,,,,
Аминокислота QNT L-Glutamine 500 г,Восстановление,Глютамин,Бельгия,500,83.0,24.0,3340,порошок,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,л-глютамин,590.0,,,5425002400460,,,,,,
Аминокислоты Mote BCAA 2:1:1 1500 мг 175 капсул,"Нарастить массу, Восстановление",BCAA,Россия,175,35.0,24.0,810,капсулы,"без ГМО, без консервантов",мужчин и женщин,"Лейцин, валин, изолейцин.",,,,7930081190037,,,,,,
"Аминокислота Geneticlab Nutrition Glutamine 1000 мг, 180 капсул",Нарастить массу,Глютамин,Россия,180,90.0,24.0,1265,капсулы,с сахарозаменителем,мужчин и женщин,"глютамин, вспомогательные вещества – мальтодекстрин, твердая желатиновая капсула (желатин – загуститель, вода, оксид железа, диоксид титана – красители).",250.0,,,7930066240320,,,,,,
L-карнитин Magic Elements L-Carnitine Liquid 3000 500 мл,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),Германия,500,20.0,24.0,1410,жидкость,без сахара,мужчин и женщин,"Вода, Л-Карнитин (11,5%), фруктоза, лимонная кислота, ароматизатор, консерванты (сорбат калия), подсластители (цикламат натрия, ацесульфам К, сукралоза, сахарин), пиридоксин гидрохлорид.",,,,,,500.0,,,,
Аминокислотный пептидный комплекс STL Essential Amino Acids IPH AGAA для мышц 90 капсул,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление",Аминокислотные комплексы,Россия,90,90.0,36.0,963,капсулы,,мужчин и женщин,"Сырье для пищевой промышленности ""EAA IPH AGAA"" (содержит пептидный комплекс IPH AGAA, L-Лизин, L-Лейцин, L-Фенилаланин, L-Валин, L-Треонин, L-Изолейцин, L- Метионин, L-Триптофан), желатиновая капсула (содержит желатин, краситель диоксид титана).",87.0,,,4602009474026,1.0,,,,,
Бета-аланин Hardlabz Beta-Alanine 320 г,"Нарастить массу, Улучшить выносливость",Бета-аланин,Россия,320,200.0,24.0,1960,порошок,без консервантов,мужчин и женщин,Бета-Аланин,,,,4630018862527,,,,,,
L-карнитин Magic Elements L-Carnitine Liquid 1500 1000 мл,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Германия,1000,40.0,24.0,1250,жидкость,без сахара,"мужчин и женщин, пожилых","вода, фруктоза, L-карнитин, регулятор кислотности молочная кислота, ароматизатор малина (ароматические вещества, мальтодекстрин, стабилизатор гуммиарабик, носители пропиленгликоль и триацетин, этиловый спирт), консервант сорбат калия, подсластители цикламат натрия, ацесульфам калия и сахарин",,,,4014871596582,,1000.0,,,,
Глютамин Prime-Kraft L-Glutamine 3600 мг 240 капсул,Восстановление,Глютамин,Россия,240,48.0,730.0,890,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей, без сахара",мужчин и женщин,"L-Глютамин, капсула (желатин).",150.0,,,4627157354082,,,,,,
Аминокислотный комплекс GEON BIO FACTOR BCAA 450 таблеток,Улучшить выносливость,BCAA,Россия,450,113.0,730.0,2650,таблетки,,мужчин и женщин,"L-Лейцин, L-Валин, L-Изолейцин, L-Орнитин, Инулин, мцк (носитель Е460), стеарат кальция (антислеживатель Е470)",535.0,,,4640006010779,,,,,,
Аминокислота RLine Glutamine Simple 250 г,"Нарастить массу, Восстановление",Глютамин,Россия,250,50.0,24.0,780,порошок,"без консервантов, без красителей",мужчин и женщин,L-глютамин.,300.0,,,4600778012135,,,,,,
Аминокислота Chikalab DMAE 60 капсул,Продлить молодость,ДМАЭ (DMAE),Россия,60,60.0,24.0,690,капсулы,,мужчин и женщин,"диметиламиноэтанола (ДМАЭ) битартрат, желатиновая капсула (желатин - загуститель, вода).",120.0,,,4603745403288,,,,,,
"Аминокислота FIT-Rx Glutamine 6000, 250 г",Нарастить массу,Глютамин,Россия,250,40.0,24.0,1050,порошок,,мужчин и женщин,порошок чистой L-глютаминовой аминокислоты,500.0,,,4630018861087,,,,,,
Аминокислоты BCAA-X 330 капсул,Восстановление,BCAA,Венгрия,330,165.0,24.0,2630,капсулы,"без ГМО, без ароматизаторов, без консервантов, без красителей, без сахара",мужчин и женщин,"L-Лейцин, L-Изолейцин, L-Валин, желатин",340.0,,,5999100001442,,,,,,
Аминокислота Scitec Nutrition L-Glutamine 300 г,"Нарастить массу, Восстановление",Глютамин,Венгрия,300,50.0,24.0,2090,порошок,"без ароматизаторов, без консервантов, без красителей",мужчин и женщин,L-Глютамин,405.0,,,5999100001350,,,,,,
Аминокислота Scitec Nutrition L-Glutamine 600 г,"Нарастить массу, Восстановление",Глютамин,Венгрия,600,100.0,24.0,3680,порошок,"без ароматизаторов, без консервантов, без красителей",мужчин и женщин,L-Глютамин,700.0,,,5999100001343,,,,,,
L-Карнитин Bombbar ENERGY L-Carnitine-Guarana 4 шт 100 мл,"Сбросить вес, Мужское здоровье, Женское здоровье, Улучшить выносливость, Восстановление","Для снижения веса, Карнитин (L-карнитин), Энергетики",Россия,4,4.0,12.0,460,жидкость,"без глютена, без лактозы, без сахара",мужчин и женщин,"Для вкуса ""Апельсин"": вода подготовленная, концентрированный яблочный сок, регулятор кислотности: лимонная кислота, экстракт гуараны, ароматизатор «Апельсин», Л-карнитин, цитрат магния, кофеин, витаминный премикс (С, Н, В1, В3, В5, В6, В9, В12), консерванты: бензоат натрия и сорбат калия, подсластитель: сукралоза. Для вкуса ""Грейпфрут"": вода подготовленная, концентрированный яблочный сок, регулятор кислотности: лимонная кислота, экстракт гуараны, ароматизаторы: «Грейпфрут», «Апельсин», Л-карнитин, цитрат магния, кофеин, витаминный премикс (С, Н, В1, В3, В5, В6, В9, В12), консерванты: бензоат натрия и сорбат калия, подсластитель: сукралоза. Для вкуса ""Клубника-земляника"": вода подготовленная, концентрированный яблочный сок, регулятор кислотности: лимонная кислота, экстракт гуараны, ароматизаторы: «Клубника», «Фейхоа», Л-карнитин, цитрат магния, кофеин, витаминный премикс (С, Н, В1, В3, В5, В6, В9, В12), консерванты: бензоат натрия и сорбат калия, подсластитель: сукралоза.",300.0,магний,"B1 (тиамин), B12 (цианокобаламин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,,,,
Напиток QNT Actif BCAA'S 8000 700 мл,Восстановление,Напитки,Бельгия,700,1.0,365.0,250,жидкость,"без ГМО, без глютена",мужчин и женщин,"вода, всаа (l-лейцин, l-изолейцин, l-валин), регуляторы кислотности: е330/е331, ароматизатор, консерванты: е202/е211, лимонный сок на основе концентрата 0,5%, подсластитель: e955, красители: е104/е110.",735.0,,,5425002408961,,,,,,
Аминокислота Trec Nutrition L-Glutamine Micronized T6 240 капсул,Восстановление,Глютамин,Польша,240,60.0,24.0,1890,капсулы,с витаминами,мужчин и женщин,"На 4 капс: L-глютамин - 2560 мг, Таурин - 640 мг, Витамин В6 - 1,60 мг, оболочка капсулы (желатин; цвет – диоксид титана); агент, предотвращающий слипание – магниевые соли жирных кислот.",350.0,,B6 (пиридоксин),5902114017514,,,,,,
L-карнитин Magic Elements L-Carnitine Liquid 6000 25 мл 20 ампул,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Германия,20,20.0,24.0,2400,ампулы,без сахара,"мужчин и женщин, пожилых","вода, фруктоза, L-карнитин, регулятор кислотности молочная кислота, ароматизатор малина (ароматические вещества, мальтодекстрин, стабилизатор гуммиарабик, носитель пропиленгликоль, антиокислитель аскорбиновая кислота, этиловый спирт), консервант сорбат калия, подсластители цикламат натрия, ацесульфам калия и сахарин.",,,,4014871596599,,500.0,,,,
Beta-Alanine 120 капсул,"Нарастить массу, Улучшить выносливость",Бета-аланин,Испания,120,60.0,3.0,1490,капсулы,"без ГМО, без ароматизаторов, без глютена, без лактозы, без сахара, без сои",мужчин и женщин,"бета-аланин, покрывающий агент гидроксипропилметилцеллюлоза (ГПМЦ) и антислипающий агент (стеарат магния). Может содержать следы молока, сои, глютена, рыбы и яиц.",300.0,,,8436046975699,,,,,,
Карнитин FIT L-Carnitine 1800 25 мл,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),Россия,1,1.0,24.0,55,ампулы,"без сахара, с сахарозаменителем","мужчин и женщин, пожилых","вода, L-карнитина тартрат, растворимые пищевые волокна-камедь акации, ксантовая камедь; экстракт плодов опунции фикус-индика, регулятор кислотности - цитрат натрия, ароматизатор пищевой «виноград», подсластители: ацесульфам калия, сукралоза, цикламат натрия; консервант бензоат натрия",,,,4607055681558,,,,,,
"Аминокислотный комплекс GEON G-System + Q10, 75 таблеток",Восстановление,Аминокислотные комплексы,Россия,75,37.0,24.0,1620,таблетки,с витаминами,мужчин и женщин,"аргинина альфа-кетоглюторат, лизина гидрохлорид, мцк (носитель Е460), орнитин, коэнзим Q10, стеарат кальция (Е470) антислеживатель, витамин Е, витамин В2",110.0,,,2000324841271,,,,,,
Карнитин Chikalab Acetyl L-Carnitine 600 мг 60 капсул,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,60,30.0,24.0,850,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,"Ацетил L-карнитин - 600 мг, микрокристаллическая целлюлоза, диоксид кремния, диоксид титана, желатин.",120.0,,,4603745403516,,,,,,
