name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,"Вес нетто, г",Минералы,Витамины,Штрихкод,Белок: грамм в 1 порции,"Объем, мл",Материал,Форма креатина,Вид транспортной системы,Вид белка
Аминокислота SupHerb L-Лизин 60 таб,"Мужское здоровье, Женское здоровье, Продлить молодость",Аминокислоты отдельные,ИЗРАИЛЬ,60,60.0,36.0,1490,таблетки,без ароматизаторов,"мужчин и женщин, пожилых","L-лизин - 500 мг, карбонат кальция стабилизатор, целлюлоза носитель, карнаубский воск глазирователь, гидроксипропилметилцеллюлоза стабилизатор, диоксид титана краситель, кроскармелоза натрия носитель, магния стеарат эмульгатор.",,,,,,,,,,
Аминокислота GEON Essential Amino L-Lysine 90 капсул,"Мужское здоровье, Женское здоровье, Продлить молодость",Аминокислоты отдельные,Россия,90,15.0,24.0,690,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","L-Лизин гидрохлорид, наполнитель – микрокристаллическая целлюлоза (Е460i), оболочка капсулы (желатин пищевой из шкур КРС, краситель – диоксид титана (Е171), краситель – понсо 4R* (Е124), краситель – оксид железа красного Е172(ii), или** желатин пищевой из шкур КРС, краситель – диоксид титана (Е171)).",,,,,,,,,,
Аминокислота Таурин GEON Taurine Power 90 капсул,"Мужское здоровье, Женское здоровье, Продлить молодость",Таурин,Россия,90,90.0,24.0,790,капсулы,"без ароматизаторов, без консервантов","мужчин и женщин, пожилых","таурин - 700 мг, желатиновая капсула (желатин пищевой из шкур KPC, краситель титана диоксид (E171).",,,,,,,,,,
Аргинин Takem Инфинити Аргинин-1200 60 капсул,"Нарастить массу, Мужское здоровье, Улучшить выносливость",Аргинин,Япония,60,20.0,36.0,8090,капсулы,"без ароматизаторов, без сахара","мужчин и женщин, пожилых","L-аргинин, крахмал, гидроксипропилметилцеллюлоза Е 464 (носитель), стеарат кальция Е 470 (носитель), диоксид кремния Е 551 (носитель)⁠.",100.0,,,,,,,,,
Аминокислотный комплекс Mutant GEAAR 378 г,Восстановление,Аминокислотные комплексы,Канада,378,30.0,24.0,1963,порошок,"без консервантов, без красителей, без лактозы, без сахара, веганский, вегетарианский","мужчин и женщин, пожилых","Аминокислоты (L-лейцин, L-валин, L-изолейцин, L-треонин, L-лизин, L-аргинин, L-фенилаланин, L-гистидин, L-метионин, L-триптофан), кислоты (яблочная кислота), электролиты (бисглицинат магния, оксид магния, цитрат калия, порошок кокосовой воды, морская соль, фосфат кальция, цитрат натрия, бикарбонат натрия), агент, препятствующий слеживанию (диоксид кремния), триглицериды со средней длиной цепи (из кокосового масла), BioPerine (экстракт плодов черного перца), натуральные пищевые ароматизаторы, подсластители (сукралоза, стевиоловые гликозиды), натуральный краситель (спирулина). Может содержать следы молока, сои, пшеницы и рыбы (коллаген).",378.0,"калий, кальций, магний",,,,,,,,
Бета-аланин GEON Beta-alanine power 80 капсул,"Нарастить массу, Улучшить выносливость",Аминокислоты отдельные,Россия,80,10.0,24.0,720,капсулы,"без консервантов, без мальтодекстрина, с витаминами","мужчин и женщин, пожилых","В 8 капс: бета-аланин - 5600 мг, L-аскорбиновая кислота (витамин C) - 800 мг, оболочка капсулы (желатин пищевой из шкур КРС, краситель диоксид титана (E171)).",,,C (аскорбиновая кислота),,,,,,,
Д-аспарагиновая кислота GEON D-Aspartic acid sport 120 капсул,"Нарастить массу, Улучшить выносливость",д-аспарагиновая кислота,Россия,120,30.0,24.0,1140,капсулы,"без ГМО, без консервантов, без мальтодекстрина","мужчин и женщин, пожилых","В 4 капс: D-Аспарагиновая кислота - 2800 мг, оболочка капсулы (желатин, краситель — диоксид титана Е171).",,,,,,,,,,
Карнитин GEON Carnitine Liquid 500 мл,"Сбросить вес, Мужское здоровье, Женское здоровье, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,500,80.0,24.0,1680,жидкость,"без ГМО, без сахара","мужчин и женщин, пожилых","На порцию 6,25 мл: L-карнитин - 900 мг, регулятор кислотности – лимонная кислота, загуститель, стабилизатор – ксантановая камедь, ароматизатор, консервант – сорбиновая кислота, подсластитель – сукралоза, краситель – бета каротин, вода подготовленная.",,,,,,,,,,
L-Carnitine 60000 + Синефрин Bombbar 500 мл,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,500,33.0,24.0,1490,жидкость,"без красителей, с витаминами, с сахарозаменителем","мужчин и женщин, пожилых","вода подготовленная, Л-карнитин, концентрированный яблочный сок, витаминный премикс (С, Н, В1, В3, В5, В6, В9, В12), натуральный ароматизатор «Малина», загустители: гуммиарабик, ксантановая камедь, экстракт Померанца (синефрин 6%), подсластители: стевия (экстракт листьев стевии) и сукралоза, консерванты: бензоат натрия и сорбат калия.",,,"B1 (тиамин), B12 (цианокобаламин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,,,,
Аминокислоты Reflexion BCAA 2:1:1 300 г,Восстановление,BCAA,Россия,300,33.0,18.0,1190,порошок,без сахара,"мужчин и женщин, пожилых","Для вкуса ""апельсин"": L-лейцин, L-изолейцин, L-валин, регулятор кислотности: лимонная кислота; ароматизаторы пищевые, подсластитель: сукралоза; антислеживающий агент: трикальцийфосфат, краситель пищевой натуральный: бета-каротин. Для вкуса ""натуральный"": L-лейцин, L-изолейцин, L-валин. Для вкуса ""гуарана""): L-лейцин, L-изолейцин, L-валин, регулятор кислотности: лимонная кислота; ароматизаторы пищевые, подсластитель: сукралоза; краситель пищевой натуральный: красный свекольный, антоцианин; экстракт картамуса, антислеживающий агент: трикальцийфосфат. Может содержать следы лактозы, сои и яичного белка.",300.0,,,,,,,,,
Теанин Jarrow Formulas Theanine 60 капсул,"Мужское здоровье, Женское здоровье, Избавление от стресса и депрессии, Продлить молодость",Аминокислоты отдельные,США,60,60.0,24.0,3240,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","L-теанин (Suntheanine®) - 200 мг, вегетарианская капсула (гидроксипропилметилцеллюлоза, вода), целлюлоза, стеарат магния (растительного происхождения), диоксид кремния.",60.0,,,,,,,,,
L-Carnitine Extra RLine 200 г,Сбросить вес,Карнитин (L-карнитин),Россия,200,181.0,24.0,1770,порошок,без лактозы,"мужчин и женщин, пожилых","L-карнитин тартрат, натуральный сублимированный сок, ароматизатор, подсластитель (сукралоза), иодированная соль.",200.0,,,4600778004536,,,,,,
Аминокислота vplab L-Lysine 1000 мг 90 каплет,"Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Красота и уход",Аминокислоты отдельные,Великобритания,90,90.0,24.0,830,каплеты,"без консервантов, без красителей",мужчин и женщин,L-лизин,180.0,,,5060255359051,,,,,,
L-Карнитин Fit-RX BCAA + L-KAR 500 миллилитров,"Нарастить массу, Сбросить вес, Мужское здоровье, Женское здоровье, Улучшить выносливость, Восстановление","BCAA, Карнитин (L-карнитин)",Россия,500,1.0,12.0,170,жидкость,без сахара,мужчин и женщин,"Подготовленная питьевая вода, BCAA Instant (лейцин, валин, изолейцин), L-карнитин, вкусо-ароматическая основа «Мультифрукт», регулятор кислотности - лимонная кислота Е330, ароматизаторы - согласно вкусу, смесь подсластителей - «Мультисвит 200С» (Е951, Е950, Е954, E952), пищевая добавка - нейтральная эмульсия, консерванты - бензоат натрия Е211, сорбат калия Е202, краситель - аллюра красный Е129 или виноградный (Е122, Е133).",500.0,,,4630018861858,6.0,,,,,
"Карнитин Doppelherz L-карнитин + магний 1220 мг, 30 таблеток","Сбросить вес, Мужское здоровье, Женское здоровье, Улучшить выносливость",Карнитин (L-карнитин),Германия,30,30.0,730.0,1010,,"без ГМО, без консервантов, без красителей",мужчин и женщин,"L-карнитина тартрат, магния оксид (магний), лактозы моногидрат, микрокристаллическая целлюлоза (эмульгатор Е 460i), крахмал, диоксид кремния аморфный (агент антислеживающий Е 551), целлюлозы (эмульгатор Е 460ii), раствор шеллака (шеллак - глазирователь Е 904, твин 80 - эмульгатор Е 433), гидроксипропилметилцеллюлоза (загуститель Е 464), моно- и диглицериды жирных кислот (эмульгатор Е 471), соли магния жирных кислот (стабилизатор Е 470), вода (растворитель), диоксид титана (краситель Е 171), тальк (агент антислеживающий Е 553iii), масло оливковое.",,,,4009932554793,,,,,,
Аминокислотный пептидный комплекс STL Fitness IPH AGAA / ВСАА  100 г,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление",Аминокислотные комплексы,Россия,100,20.0,36.0,1193,порошок,без аспартама,мужчин и женщин,"комплексная пищевая добавка FITNESS IPH AGAA/BCAA (L-Лейцин, L-Изолейцин, L-Валин, пептидный комплекс IPH AGAA), мальтодекстрин, изомальт, ароматизатор кофе-лимон, винная кислота, карбонат натрия, сукралоза.",87.0,,,8056157320265,,,,,,
Энергетический напиток Bombbar ENERGY BCAA  2:1:1 Guarana 330 мл,Улучшить выносливость,Энергетики,Россия,330,1.0,12.0,210,жидкость,"без сахара, с витаминами",мужчин и женщин,"вода подготовленная, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), L-лейцин, L-изолейцин, L-валин, экстракт семян гуараны, ароматизаторы, кофеин, гуммиарабик, ксантановая камедь, подсластитель сукралоза, бензоат натрия, краситель сахарный колер IV, витамины (С, В1, В3, В5, В6, В7, В9, В12).",,,"B1 (тиамин), B12 (цианокобаламин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,330.0,,,,
BCAA О12 BCAA 5000 500 миллилитров,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление","BCAA, Напитки",Россия,500,1.0,12.0,140,,без сахара,мужчин и женщин,"(для вкуса ""Красный апельсин""): Вода подготовленная, смесь аминокислот BCAA (L-лейцин, L-валин, L-изолейцин), регуляторы кислотности — лимонная кислота и цитрат натрия, ароматизатор натуральный Апельсин, замутнитель, красители натуральные — Красный (концентраты соков моркови и граната) и Желтый (концентраты соков сафлоры и лимона), подсластитель — сукралоза. (для вкуса ""Яблоко""): Вода подготовленная, смесь аминокислот BCAA (L-лейцин, L-валин, L-изолейцин), регуляторы кислотности — лимонная кислота и цитрат натрия, ароматизатор натуральный Яблоко, краситель — сахарный колер IV, подсластитель — сукралоза",550.0,,,4607960490443,,,,,,
Аминокислотный пептидный комплекс IPH AVN BCAA Collagen для сосудов 120 капсул,Восстановление,BCAA,Россия,120,20.0,24.0,1420,капсулы,"без консервантов, без красителей",мужчин и женщин,"L-изолейцин, L-валин, L-лейцин, Глицин, Пролин, гидролизат коллагена",70.0,,,460200450532,,,,,,
"Аминокислота aTech Nutrition LYSINE 620 мг, 60 капсул","Подвижность и здоровье суставов, Красота и уход",Аминокислоты отдельные,Россия,60,60.0,,510,капсулы,,мужчин и женщин,"желатин, l-лизин, диоксид титана",90.0,,,4630019678264,,,,,,
Аминокислота Nature's Bounty L-Arginine 1000 мг 50 таблеток,Мужское здоровье,Аргинин,США,50,16.0,24.0,2070,таблетки,,мужчин и женщин,L-аргинин,60.0,,,074312077609,,,,,,
"Оксид азота GEON AAKG Nitro power, 150 г","Нарастить массу, Мужское здоровье, Восстановление",Оксид азота (NO),Россия,150,25.0,24.0,1260,порошок,"без ГМО, без глютена, без консервантов",мужчин и женщин,L-Аргинина альфа-кетоглюторат,280.0,,,4640006011127,,,,,,
Оксид азота (NO) RPS Nutrition AAKG 250 г,Улучшить выносливость,Оксид азота (NO),Россия,250,50.0,730.0,1430,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без лактозы, без мальтодекстрина, без пальмового масла, без сахара, без сои, без соли",мужчин и женщин,"Аргинин альфа-кетоглутарат, сукралоза (в вариантах с ароматизатором), лимонная кислота (в вариантах с ароматизатором), натуральный ароматизатор (зависит от вкуса)",,,,4627116541331,,,пластик,,,
Лизин NOW L-Lysine 500 мг 250 капсул,"Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Красота и уход, Продлить молодость",Аминокислоты отдельные,США,250,250.0,24.0,2950,капсулы,,мужчин и женщин,"L-Лизин, желатин, стеариновая кислота, целлюлоза, рисовая мука, стеарат магния.",150.0,,,733739001122,,,,,,
Аминокислотный пептидный комплекс IPH AVN BCAA Collagen для сосудов 120 таблеток,"Подвижность и здоровье суставов, Мужское здоровье",BCAA,Россия,120,40.0,730.0,1670,таблетки,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин,"L-Лейцин, L-Изолейцин, L-Валин, Глицин, Пролин",140.0,,,4602009450525,,,,,,
Аминокислота Chikalab Beta-Alanine 60 капсул,Нарастить массу,Бета-аланин,Россия,60,30.0,24.0,690,капсулы,без ГМО,мужчин и женщин,"бета-аланин, твердая желатиновая капсула (желатин – загуститель, вода).",120.0,,,4603745403530,,,,,,
Аминокислоты Rule One Proteins R1 BCAA 426 г,Восстановление,BCAA,США,426,60.0,24.0,2360,порошок,,мужчин и женщин,"На 7,2 г: L-Лейцин - 2,5 г, L-Изолейцин - 1,25 г, L-Валин - 1,25 г, натуральные и искусственные ароматизаторы, сукралоза, лецитин, лимонная кислота, цитрат калия",,,,2000324785124,,,,,,
Аминокислоты Rule One Proteins R1 BCAA 216 г,Восстановление,BCAA,США,213,30.0,24.0,1900,порошок,"без консервантов, без сахара",мужчин и женщин,"L-Лейцин, L-Изолейцин, L-Валин, Натуральные и искусственные ароматизаторы, сукралоза, лецитин, лимонная кислота, цитрат калия",220.0,,,2000324790791,,,,,,
"Оксид азота ACADEMY-T ViNitro, 120 капсул",Мужское здоровье,Оксид азота (NO),Россия,120,120.0,24.0,980,капсулы,,мужчин и женщин,"L-аргинин, L-лизин, Смесь экстрактов винограда и яблока (Vinitrox)",120.0,,,4607055681145,,,,,,
Глютамин RPS Nutrition Glutamine 300 г,Восстановление,Глютамин,Россия,300,60.0,24.0,1050,порошок,"без ароматизаторов, без консервантов, без красителей",мужчин и женщин,Л-Глютамин,300.0,,,4627116540594,,,,,,
L-Arginine 100 капсул,"Нарастить массу, Мужское здоровье, Улучшить выносливость",Аргинин,Россия,100,20.0,730.0,880,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,"аргинин, желатин, красители: титана диоксид, желтый ""солнечный закат"".",,,,4602009428821,,,,,,
"Solgar Бета Глюканы 1,3 60 таблеток",Продлить молодость,Специальные препараты,США,60,60.0,24.0,1135,таблетки,"без консервантов, без красителей","мужчин и женщин, пожилых","бета-глюканы -1,3, микрокристаллическая целлюлоза (носитель), стеариновая кислота (носитель), растительная целлюлоза [гидроксипропилметилцеллюлоза (носитель), кроскарамеллоза (носитель)], диоксид кремния (антислеживающий агент), магниевая соль стеариновой кислоты (антислеживающий агент), глицерин (носитель).",235.0,,,33984003965,,,,,,
Аминокислотный пептидный комплекс IPH AEN BCAA Collagen для хрящей 120 капсул,Восстановление,BCAA,Россия,120,20.0,24.0,1410,капсулы,"без консервантов, без красителей",мужчин и женщин,"L-изолейцин, L-валин, L-лейцин, Глицин, Пролин, Гидролизат коллагена",70.0,,,460200450518,,,,,,
"Аминокислота GEON Glutamine Power, 300 г","Нарастить массу, Мужское здоровье, Женское здоровье, Восстановление",Глютамин,Россия,300,428.0,24.0,1160,порошок,"без ГМО, без ароматизаторов, без консервантов, без красителей",мужчин и женщин,L-Глютамин,390.0,,,4640006011356,,,силикон,,,
Карнитин Solgar Maxi L-Carnitine 500 мг 30 таблеток,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),США,30,30.0,24.0,2750,таблетки,без лактозы,"мужчин и женщин, пожилых", L-Карнитин,50.0,,,0033984005709,,,,,,
Аминокислотный пептидный комплекс STL Essential Amino Acids IPH AVN для сосудов 90 капсул,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление",Аминокислотные комплексы,Россия,90,90.0,36.0,1520,капсулы,,мужчин и женщин," Сырье для пищевой промышленности ""EAA IPH AVN"" (содержит пептидный комплекс IPH AVN, L-Лизин, L-Лейцин, L-Фенилаланин, L-Валин, L-Треонин, L-Изолейцин, L- Метионин, L-Триптофан), желатиновая капсула (содержит желатин, краситель диоксид титана).",87.0,,,4602009474040,1.0,,,,,
Аминокислота RPS Nutrition L-Arginine 500 г,Мужское здоровье,Аргинин,Россия,500,100.0,24.0,1850,порошок,"без аспартама, без консервантов, без красителей",мужчин и женщин, 100% Аргинин,520.0,,,4620768980367,,,,,,
L-карнитин NOW L-Carnitine 500 mg 60 капсул,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),США,60,60.0,36.0,3290,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,"L-Carnitine, гипромеллоза (целлюлозная капсула), микрокристаллическая целлюлоза, стеарат магния (растительный источник) и диоксид кремния.",105.0,,,733739000729,,,,,,
Карнитин Liquid & Liquid L-Carnitine Crystal 2500 25 мл 20 ампул,"Сбросить вес, Продлить молодость",Карнитин (L-карнитин),Германия,20,20.0,12.0,2580,ампулы,без сахара,"мужчин и женщин, пожилых","вода, L-карнитин, лимонная кислота, фруктоза, консерванты, подсластители, ароматизатор. Не содержат лактозу, глютен, искусственные подсластители и красители. Препарат гипоаллергенен согласно европейским нормам здравоохранения. L-carnitine Crystal имеет европейскую сертификацию ISO, IFS и СГР в РФ.",1000.0,,,"2000874544363,4141212084566",,,,,,
Карнитин Liquid & Liquid L-Carnitine Crystal 2500 25 мл,"Сбросить вес, Продлить молодость",Карнитин (L-карнитин),Германия,1,1.0,12.0,129,ампулы,без сахара,"мужчин и женщин, пожилых","вода, L-карнитин, лимонная кислота, фруктоза, консерванты, подсластители, ароматизатор. Не содержат лактозу, глютен, искусственные подсластители и красители. Препарат гипоаллергенен согласно европейским нормам здравоохранения. L-carnitine Crystal имеет европейскую сертификацию ISO, IFS и СГР в РФ.",20.0,,,,,,,,,
Карнитин Liquid & Liquid L-Carnitine Crystal 5000 25 мл,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),Германия,1,1.0,12.0,180,ампулы,"без ГМО, без глютена, без сахара","мужчин и женщин, пожилых","вода, L-карнитин, лимонная кислота, фруктоза, консерванты, подсластители, ароматизатор. Не содержат лактозу, глютен, искусственные подсластители и красители. Препарат гипоаллергенен согласно европейским нормам здравоохранения. L-carnitine Crystal имеет европейскую сертификацию ISO, IFS и СГР в РФ.",50.0,,,"4141212520217,4141212547511",,,,,,
"Аминокислоты ACADEMY-T Sportamin BCAA 2:1:1, 300 капсул","Нарастить массу, Улучшить выносливость, Восстановление",BCAA,Россия,300,30.0,24.0,1530,капсулы,без сахара,мужчин и женщин,"лейцин, натуральное растворимое пребиотическое вещество, аргинин, валин, изолейцин, вспомогательный ингредиент-желатин",420.0,,,4607055681060,,,,,,
"Оксид азота aTech Nutrition AAKG, 120 капсул","Нарастить массу, Улучшить выносливость, Восстановление",Оксид азота (NO),Россия,120,120.0,24.0,1020,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,"желатин, аргинин-альфа-кетоглутарат, диоксид титана",100.0,,,4630019675997,,,,,,
L-Carnitine Crazzy 5000 Liquid & Liquid 60 мл,Сбросить вес,Карнитин (L-карнитин),Германия,1,1.0,12.0,180,ампулы,без сахара,мужчин и женщин,"вода, Л-карнитин, лимонная кислота, фруктоза, бета-аланин, таурин, Л-аргинин, кофеин, консерванты, подсластители, ароматизатор. Не содержат лактозу, глютен, искусственные подсластители и красители. Препарат гипоаллергенен согласно европейским нормам здравоохранения. L-carnitine Crazzy имеет европейскую сертификацию ISO, IFS и СГР в РФ.",,,,4141212647952,,,,,,
"Аминокислоты GEON Bio Factor BCAA, 200 таблеток",Восстановление,BCAA,Россия,200,50.0,24.0,1490,таблетки,"без ГМО, без консервантов, без красителей",мужчин и женщин,"L-изолейцин, L-валин, L-лейцин, Инулин, L-Орнитин,  	мцк (носитель Е460), стеарат кальция (антислеживатель Е470)",240.0,,,4640006010014,,,,,,
L-карнитин RLine L-Carnitine Shot 3000 60 мл 20 ампул,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,20,20.0,12.0,2000,ампулы,без сахара,мужчин и женщин,"столовая минеральная вода, L-карнитин, регулятор кислотности лимонная кислота, натуральный концентрированный сок, подсластители: сахарин и цикламат, ароматизаторы, консерванты: бензоат натрия и сорбат калия, кислота аскорбиновая, витаминно-минеральный комплекс, цитрат натрия, соль пищевая поваренная.",1200.0,,,4627146228653,,,,,,
Карнитин Liquid & Liquid L-Carnitine Crystal 5000 25 мл 20 ампул,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),Германия,20,20.0,12.0,3600,ампулы,без лактозы,мужчин и женщин,"вода, L-карнитин, лимонная кислота, фруктоза, консерванты, подсластители, ароматизатор. Не содержат лактозу, глютен, искусственные подсластители и красители. Препарат гипоаллергенен согласно европейским нормам здравоохранения. L-carnitine Crystal имеет европейскую сертификацию ISO, IFS и СГР в РФ.",,,,4141212389517,,,,,,
Аминокислоты QNT ВСАА'S 100 капсул,Восстановление,BCAA,Бельгия,100,33.0,24.0,1670,капсулы,"без консервантов, без красителей",мужчин и женщин,"Л-лейцин, Л-валин, Л-изолейцин, желатин,антислеживатель Е341,кукурузный крахмал, загуститель Е470b,краситель Е171, витамин В6",100.0,,,2000874530618,,,,,,
Аргинин vplab AAKG 90 каплет,"Нарастить массу, Восстановление",Аргинин,Великобритания,90,30.0,24.0,1350,каплеты,,мужчин и женщин,ААКГ,300.0,,,5060255358146,,,,,,
Аминокислотный пептидный комплекс IPH AEN BCAA Collagen для хрящей 120 таблеток,"Подвижность и здоровье суставов, Восстановление, Прочность костей",BCAA,Россия,120,40.0,730.0,1650,таблетки,"без ГМО, без ароматизаторов, без глютена, без консервантов, без лактозы, без сахара, без сои",мужчин,"L-Лейцин, L-Изолейцин, L-Валин, Глицин, Пролин",140.0,,,4602009379093,,,,,,
Аминокислоты Trec Nutrition BCAA High Speed 10 г,Восстановление,BCAA,Польша,1,1.0,24.0,80,пакетики,"без ГМО, без консервантов",мужчин и женщин,"аминокислоты с разветвленной цепью BCAA (60%), мальтодекстрины, регуляторы кислотности - лимонная кислота, яблочная кислота, ароматизаторы, загустители - целлюлозная камедь, ксантановая камедь, подсластитель - сукралоза, краситель для вкуса лимон - бета-каротин, краситель для вкуса вишня-грейпфрут - кармазин, краситель для вкуса кола - карамель",10.0,,,,,,,,,
Mass Creatine,Нарастить массу,Гейнеры,Россия,4000,40.0,24.0,4460,порошок,,мужчин и женщин,"концентрат сывороточного белка, мальтодекстрин, фруктоза, декстроза, шоколадная крошка (в шоколадном вкусе), сублимированные кусочки фруктов (во фруктовых вкусах), концентрат натурального сока (во фруктовых вкусах), какао-порошок (в шоколадном вкусе), креатина моногидрат, лецитин, загуститель (ксантановая камедь), подсластитель (сукралоза), йодированная соль, ароматизатор, идентичный натуральному, витаминный премикс.",4000.0,,,4600778001153,,,,креатин моногидрат,,
Fit Creatine,Нарастить массу,Креатин моногидрат,Россия,600,120.0,24.0,3660,порошок,без крахмала,мужчин и женщин,моногидрат креатина,750.0,,,4607055681695,,,,креатин моногидрат,,
L-карнитин Hardlabz L-Carnitine 200 г,"Нарастить массу, Восстановление",Карнитин (L-карнитин),Россия,200,200.0,24.0,2170,порошок,"без сахара, с сахарозаменителем",мужчин и женщин,"(для вкуса ""Нейтральный""): L-карнитин L-тартрат. (для вкуса ""Клюква""): L-карнитин L-тартрат, лимонная кислота – регулятор кислотности, ароматизатор, подсластитель – сукралоза, краситель – понсо 4R. Содержит краситель, который может оказывать отрицательное влияние на активность и внимание детей.",200.0,,,4630018862459,,,,,,
Аминокислоты Prime-Kraft BCAA 2:1:1 2900 мг 240 капсул,"Улучшить выносливость, Восстановление",BCAA,Россия,240,48.0,18.0,820,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей, без сахара, без сои",мужчин и женщин,"Смесь аминокислот (l-лейцин, l-валин, l-изолейцин), капсула (желатин).",150.0,,,4627157354051,,,,,,
Аминокислота RLine AAKG 200 капсул,"Улучшить выносливость, Восстановление",Аргинин,Россия,200,40.0,24.0,910,капсулы,"без консервантов, без красителей",мужчин и женщин,"аргинин альфа-кетоглутарат (AAKG), желатин (капсула).",,,,4600778006950,,,,,,
"L-карнитин aTech Nutrition FATBURNER, 150 г, вкус: сумасшедшие ягоды ",Улучшить выносливость,Карнитин (L-карнитин),Россия,150,50.0,730.0,1170,порошок,"без ГМО, без глютена, без сахара",мужчин и женщин,"L-карнитин тартрат, L-аргинин, L-глютамин, L-фенилаланин, L-цистеин, лимонная кислота, аминокислоты, лецитин соевый, кремния диоксид, сукралоза, ароматизатор лесные ягоды",280.0,,,4630019673863,,,пластик,,,
Аминокислотный комплекс STL Амино-80 400 таблеток,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление",Аминокислотные комплексы,Россия,400,133.0,24.0,2240,таблетки,,мужчин и женщин,"Гидролизат сывороточных белков молока 80% (пептиды 48%, свободные аминокислоты 32%, углеводы (лактоза) 6%, жиры 1,5%, минеральные соли 5,2%, влага 6,2%), желатин, антислеживающий агент - кальция стеарат (Е470).",500.0,,,4602009391545,,,,,,
"Аминокислота GEON Glutamine Power, 180 капсул",Нарастить массу,Глютамин,Россия,180,180.0,24.0,1130,капсулы,"без ГМО, без консервантов, без красителей",мужчин и женщин,"L-глютамин, желатин, диоксид титана (в составе оболочки капсулы), оксид железа (в составе оболочки капсулы)",175.0,,,4640006010175,,,,,,
Glutamine Caps 1000,Нарастить массу,Глютамин,США,240,240.0,,1950,,,,"Желатин, стеарат магния.",350.0,,,748927025859,,,,,,
Аминокислоты Twinlab L-Arginine & L-Ornithine 100 капсул,"Мужское здоровье, Восстановление",Аминокислоты отдельные,США,100,50.0,24.0,1520,капсулы,"без консервантов, без красителей","мужчин, пожилых","L-аргинин (из гидрохлорида L-аргинина, L-аргинина), L-орнитин (из гидрохлорида L-орнитина), желатин, стеариновая кислота, кремнезем, триглицериды со средней цепью",260.0,,,027434001175,,,,,,
Аминокислоты BCAA 2:1:1 250 таблеток,"Нарастить массу, Сбросить вес, Восстановление",BCAA,Россия,250,20.0,24.0,1190,таблетки,"без консервантов, без красителей",мужчин и женщин,"L-лейцин, L-изолейцин, L-валин, лактоза моногидрат, желатин пищевой, диоксид кремния аморфный (Е551, агент антислеживающий), кальций стеариновокислый (Е470, агент антислеживающий).",250.0,,,4602009391477,,,,,,
Жиросжигатель GEON CARNITINE POWER 3200 25 мл,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,1,1.0,12.0,110,,"без ГМО, без сахара","мужчин и женщин, пожилых","L-карнтин, холин, глицерин, инозитол, лимонная кислота (регулятор кислотности), натрия цитрат (регулятор кислотности), ксилит (подсластитель), сорбиновая кислота, L-тирозин, витамин В6, сукралоза (подсластитель), краситель (сахарный колер), ароматизаторы идентичные натуральным, вода.",50.0,,,"2000874531097,4640006010342,4640006010472",,,,,,
Аминокислота RPS Nutrition Glutamine 500 г,Восстановление,"Глютамин, Для связок и суставов",Россия,500,100.0,24.0,1590,порошок,"без ГМО, без ароматизаторов, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без лактозы, без мальтодекстрина, без пальмового масла, без сахара, без сои, без соли, без сукралозы, без холестерина, без яиц","мужчин и женщин, пожилых",Л-Глютамин,520.0,,,4620768980329,,,,,,
